AD_T10_T12_1	AD_T10_T12_2	AD_T10_T12_3	AD_T10_T12_4	AD_T10_T12_5	AD_T10_T12_6	AD_T3_T5_1	AD_T3_T5_2	AD_T3_T5_3	AD_T3_T5_4	AD_T3_T5_5	AD_T3_T5_6	gene_id	gene
36	59	62	41	53	37	0	2	0	0	0	0	ENSG00000213417	KRTAP2-4
5	3	0	0	2	0	35	33	18	42	69	27	ENSG00000010319	SEMA3G
29	22	34	185	41	64	0	0	3	4	24	5	ENSG00000041353	RAB27B
42	72	87	32	36	35	589	902	648	452	1098	588	ENSG00000204291	COL15A1
11	2	5	9	11	9	17	19	27	39	40	60	ENSG00000152078	TMEM56
32	29	15	39	22	5	6	3	3	4	0	4	ENSG00000232679	LINC01705
27	13	36	12	6	7	0	4	1	2	13	2	ENSG00000238078	LINC01352
1	7	4	1	5	4	0	0	0	1	2	0	ENSG00000267069	AP005264.1
23409	9024	13578	35399	26201	12822	1409	346	1207	9216	3474	4867	ENSG00000196611	MMP1
112	150	139	149	218	189	13	37	36	20	78	44	ENSG00000187546	AGMO
3	5	3	2	5	6	1	0	2	0	0	0	ENSG00000219653	GCNT1P4
39	34	29	80	66	78	15	4	1	29	16	14	ENSG00000182272	B4GALNT4
0	14	3	3	1	5	0	0	0	0	0	0	ENSG00000108759	KRT32
599	592	953	674	938	874	68	119	140	75	172	68	ENSG00000108691	CCL2
125	198	128	489	147	356	1953	2460	1284	862	852	592	ENSG00000066279	ASPM
0	3	5	1	3	1	3	5	6	9	15	18	ENSG00000106560	GIMAP2
12	9	5	15	4	3	1	0	0	2	1	0	ENSG00000253557	AC100849.1
24	31	21	22	22	19	92	72	88	133	118	134	ENSG00000205221	VIT
14	6	4	9	16	8	33	25	24	124	106	56	ENSG00000162944	RFTN2
14	9	8	6	1	3	69	87	41	10	10	2	ENSG00000106809	OGN
6	11	10	21	16	5	2	8	8	85	83	117	ENSG00000175567	UCP2
0	1	0	0	0	0	10	7	1	1	2	0	ENSG00000147255	IGSF1
9	69	36	2	13	14	341	260	408	358	271	655	ENSG00000112655	PTK7
1	3	0	0	0	0	5	2	3	14	5	6	ENSG00000262877	AC110285.2
1	2	0	1	1	0	3	7	3	6	3	4	ENSG00000276308	AC078880.4
14	3	11	5	5	4	6	0	0	0	0	0	ENSG00000251416	AC103879.1
2	4	7	1	0	1	0	0	0	0	0	0	ENSG00000233030	AC243772.2
16	18	18	22	13	9	6	3	2	1	2	0	ENSG00000251248	AC139720.2
4	7	5	7	10	5	0	0	0	1	2	0	ENSG00000272196	HIST2H2AA4
49	106	104	163	178	184	772	989	933	373	354	414	ENSG00000135451	TROAP
0	0	0	0	1	0	15	8	5	1	1	0	ENSG00000171004	HS6ST2
16	5	7	15	5	1	0	1	2	5	0	3	ENSG00000152154	TMEM178A
34	80	91	123	144	150	753	1024	790	304	271	201	ENSG00000117650	NEK2
8	6	4	6	3	0	1	1	2	0	1	0	ENSG00000213468	FIRRE
2	6	1	1	2	3	0	0	0	0	0	0	ENSG00000249942	AC239584.1
31	21	31	23	45	26	3	6	0	7	12	3	ENSG00000244459	AC147067.1
64	61	33	6	1	3	4	0	3	6	4	0	ENSG00000167861	HID1
45	67	25	22	26	32	18	9	26	1	0	0	ENSG00000250038	AC109588.1
0	9	6	13	6	5	46	51	56	17	23	22	ENSG00000231007	CDC20P1
157	280	242	339	384	365	1737	2008	1962	1017	822	874	ENSG00000157456	CCNB2
369	99	115	772	286	191	5	1	2	47	5	15	ENSG00000115919	KYNU
325	123	129	189	108	71	1345	789	984	1237	664	680	ENSG00000182636	NDN
7	15	9	10	37	12	54	14	76	105	83	132	ENSG00000119630	PGF
1174	809	1086	1033	471	1178	194	467	234	136	179	151	ENSG00000169862	CTNND2
52	173	131	192	248	210	1239	1518	1543	887	641	902	ENSG00000123080	CDKN2C
113	19	56	62	21	33	558	284	215	160	79	70	ENSG00000006016	CRLF1
11	11	6	20	8	14	30	24	33	102	77	58	ENSG00000081181	ARG2
1320	892	1095	1222	1387	1153	84	150	124	283	380	236	ENSG00000128606	LRRC17
3	6	6	14	3	3	0	0	0	0	2	3	ENSG00000167476	JSRP1
7	4	14	2	2	3	0	0	1	0	0	0	ENSG00000261017	AC096996.1
0	0	0	0	4	0	6	6	7	5	6	2	ENSG00000279019	AC009090.4
46	8	14	39	7	1	2	0	0	7	0	2	ENSG00000203837	PNLIPRP3
249	255	297	425	338	419	15	15	25	36	43	59	ENSG00000002745	WNT16
2	3	1	0	0	0	6	22	4	28	15	26	ENSG00000182168	UNC5C
136	294	300	469	376	462	2159	2334	2028	743	685	778	ENSG00000090889	KIF4A
167	211	187	589	210	355	2046	2824	1343	909	1107	629	ENSG00000117724	CENPF
7	3	12	10	2	5	1	0	1	5	0	0	ENSG00000130540	SULT4A1
0	0	0	1	1	0	2	4	2	2	4	4	ENSG00000099834	CDHR5
183	265	141	176	97	118	20	5	26	67	39	56	ENSG00000173641	HSPB7
307	194	200	290	198	231	9	6	5	33	39	41	ENSG00000100739	BDKRB1
0	1	0	0	0	0	0	0	0	8	16	8	ENSG00000104081	BMF
7	7	12	12	3	0	32	39	34	38	40	57	ENSG00000158813	EDA
76	85	83	100	113	113	13	5	25	25	19	41	ENSG00000174939	ASPHD1
91	204	240	345	291	358	1551	2221	1920	728	637	683	ENSG00000101447	FAM83D
4	10	9	0	15	1	0	0	0	0	0	2	ENSG00000260420	LINC02182
23	13	6	8	9	15	9	2	1	0	1	2	ENSG00000198203	SULT1C2
24	24	20	15	16	13	63	55	42	184	151	148	ENSG00000064309	CDON
803	354	721	990	296	1161	290	290	154	42	69	27	ENSG00000125730	C3
