gene_id	gene	log2FoldChange	padj	stat
ENSG00000127720	METTL25	0.2309	0.6654	None
ENSG00000051596	THOC3	-0.9248	4e-4	None
ENSG00000135541	AHI1	-0.3151	0.2693	None
ENSG00000143376	SNX27	0.0271	0.9238	None
ENSG00000256006	AC084117.1	1.5356	0.5432	None
ENSG00000172172	MRPL13	-0.6941	0	None
ENSG00000132604	TERF2	-0.3598	0.028	None
ENSG00000131724	IL13RA1	0.9505	0	None
ENSG00000213417	KRTAP2-4	6.3358	0	up
ENSG00000128595	CALU	0.719	0	None
ENSG00000136531	SCN2A	1.3296	0.3875	None
ENSG00000175220	ARHGAP1	0.4517	6e-4	None
ENSG00000176115	AQP7P4	-0.56	0.8755	None
ENSG00000168283	BMI1	-0.5474	0.0074	None
ENSG00000034510	TMSB10	0.5209	0.0025	None
ENSG00000231351	AC111200.2	0.455	0.6492	None
ENSG00000258472	AC005726.1	-1.3913	0.051	None
ENSG00000174684	B4GAT1	-0.039	0.8873	None
ENSG00000131652	THOC6	-2.346	0	down
ENSG00000107185	RGP1	0.247	0.1977	None
ENSG00000256967	AC018653.3	2.0056	0.3539	None
ENSG00000248449	PCDHGB8P	1.0231	0.575	None
ENSG00000119314	PTBP3	-0.9156	0	None
ENSG00000232952	AL512844.1	-1.3058	0.2222	None
ENSG00000196652	ZKSCAN5	0.0349	0.91	None
ENSG00000100568	VTI1B	0.4137	0.0084	None
ENSG00000108468	CBX1	-0.7033	0	None
ENSG00000130349	C6orf203	0.061	0.8525	None
ENSG00000113163	COL4A3BP	0.039	0.8995	None
ENSG00000232977	LINC00327	2.1292	0.0027	up
ENSG00000155760	FZD7	1.0391	0.0063	None
ENSG00000125266	EFNB2	0.5745	0.0712	None
ENSG00000227666	CYCSP24	0.2257	0.9222	None
ENSG00000107404	DVL1	-0.4387	0.005	None
ENSG00000232415	ELN-AS1	2.2837	0.2754	None
ENSG00000105829	BET1	0.6041	0.002	None
ENSG00000165985	C1QL3	0.6563	0.829	None
ENSG00000285331	AC010999.3	0.181	0.8423	None
ENSG00000169026	SLC49A3	-0.0052	0.9906	None
ENSG00000196220	SRGAP3	0.8557	0.0121	None
ENSG00000232811	AL360270.1	2.1309	0.1391	None
ENSG00000131238	PPT1	-0.359	0.0265	None
ENSG00000088451	TGDS	0.0789	0.8332	None
ENSG00000240057	AC078785.1	-0.7075	0.7879	None
ENSG00000279631	AL158211.5	0.157	0.9418	None
ENSG00000099330	OCEL1	0.7202	0.0877	None
