AD_T10_1	AD_T10_2	AD_T10_3	AD_T3_1	AD_T3_2	AD_T3_3	gene_id	gene
36	59	62	0	2	0	ENSG00000213417	KRTAP2-4
83	97	76	430	466	433	ENSG00000131652	THOC6
49	27	24	10	4	9	ENSG00000232977	LINC00327
19	28	60	8	9	9	ENSG00000155792	DEPTOR
29	20	21	12	1	4	ENSG00000070669	ASNS
5	3	0	35	33	18	ENSG00000010319	SEMA3G
1	6	4	27	51	25	ENSG00000145861	C1QTNF2
29	22	34	0	0	3	ENSG00000041353	RAB27B
85	196	168	607	746	781	ENSG00000092470	WDR76
42	72	87	589	902	648	ENSG00000204291	COL15A1
40	12	25	127	121	83	ENSG00000175305	CCNE2
91	158	117	20	21	42	ENSG00000115266	APC2
1	7	4	27	17	34	ENSG00000198797	BRINP2
32	29	15	6	3	3	ENSG00000232679	LINC01705
27	13	36	0	4	1	ENSG00000238078	LINC01352
34	13	15	4	6	5	ENSG00000266904	LINC00663
23409	9024	13578	1409	346	1207	ENSG00000196611	MMP1
112	150	139	13	37	36	ENSG00000187546	AGMO
7	6	5	23	28	54	ENSG00000272821	U62317.3
39	34	29	15	4	1	ENSG00000182272	B4GALNT4
100	144	165	620	889	758	ENSG00000112029	FBXO5
599	592	953	68	119	140	ENSG00000108691	CCL2
381	543	486	2569	2423	2310	ENSG00000146918	NCAPG2
125	198	128	1953	2460	1284	ENSG00000066279	ASPM
19	38	57	11	6	1	ENSG00000130475	FCHO1
12	9	5	1	0	0	ENSG00000253557	AC100849.1
85	165	184	1075	963	1204	ENSG00000093009	CDC45
16	10	18	3	4	4	ENSG00000277067	CU634019.1
22	21	16	3	1	3	ENSG00000205710	C17orf107
6	29	25	2	7	4	ENSG00000165272	AQP3
34	58	37	172	225	165	ENSG00000198924	DCLRE1A
10	11	24	1	2	1	ENSG00000183111	ARHGEF37
1571	1108	1272	257	241	420	ENSG00000130066	SAT1
14	9	8	69	87	41	ENSG00000106809	OGN
9	69	36	341	260	408	ENSG00000112655	PTK7
16	18	18	6	3	2	ENSG00000251248	AC139720.2
187	356	282	1275	1486	1646	ENSG00000105486	LIG1
46	36	57	218	233	226	ENSG00000280206	AC026401.3
4	7	5	0	0	0	ENSG00000272196	HIST2H2AA4
49	106	104	772	989	933	ENSG00000135451	TROAP
75	103	80	514	522	512	ENSG00000146281	PM20D2
0	0	0	15	8	5	ENSG00000171004	HS6ST2
43	44	57	8	9	17	ENSG00000176826	FKBP9P1
16	5	7	0	1	2	ENSG00000152154	TMEM178A
34	80	91	753	1024	790	ENSG00000117650	NEK2
149	231	272	1319	1938	1554	ENSG00000123485	HJURP
76	157	112	6	19	32	ENSG00000187583	PLEKHN1
31	21	31	3	6	0	ENSG00000244459	AC147067.1
170	216	281	1238	1495	1301	ENSG00000101003	GINS1
64	61	33	4	0	3	ENSG00000167861	HID1
0	9	6	46	51	56	ENSG00000231007	CDC20P1
157	280	242	1737	2008	1962	ENSG00000157456	CCNB2
49	60	70	6	16	23	ENSG00000267317	AC027307.2
369	99	115	5	1	2	ENSG00000115919	KYNU
163	233	282	875	1054	930	ENSG00000143476	DTL
325	123	129	1345	789	984	ENSG00000182636	NDN
7	15	9	54	14	76	ENSG00000119630	PGF
38	29	24	6	3	3	ENSG00000183549	ACSM5
159	349	326	1569	1641	2066	ENSG00000127564	PKMYT1
5	25	10	72	79	78	ENSG00000100206	DMC1
52	173	131	1239	1518	1543	ENSG00000123080	CDKN2C
113	19	56	558	284	215	ENSG00000006016	CRLF1
514	672	623	2346	2977	2674	ENSG00000119403	PHF19
12	9	6	0	0	0	ENSG00000140297	GCNT3
39	11	46	2	9	6	ENSG00000227619	AL391056.1
1320	892	1095	84	150	124	ENSG00000128606	LRRC17
85	57	62	21	17	10	ENSG00000258297	AP001157.1
3	6	6	0	0	0	ENSG00000167476	JSRP1
722	986	1195	3684	3672	4598	ENSG00000132646	PCNA
7	4	14	0	0	1	ENSG00000261017	AC096996.1
0	0	0	6	6	7	ENSG00000279019	AC009090.4
0	1	0	14	7	3	ENSG00000156395	SORCS3
124	164	156	22	34	39	ENSG00000226742	HSBP1L1
18	21	10	3	3	6	ENSG00000166349	RAG1
137	52	56	12	15	9	ENSG00000224383	PRR29
46	8	14	2	0	0	ENSG00000203837	PNLIPRP3
0	0	0	7	5	4	ENSG00000232656	IDI2-AS1
57	139	59	6	10	8	ENSG00000161681	SHANK1
249	255	297	15	15	25	ENSG00000002745	WNT16
136	294	300	2159	2334	2028	ENSG00000090889	KIF4A
86	150	124	457	697	574	ENSG00000170558	CDH2
167	211	187	2046	2824	1343	ENSG00000117724	CENPF
183	265	141	20	5	26	ENSG00000173641	HSPB7
307	194	200	9	6	5	ENSG00000100739	BDKRB1
61	16	27	5	1	2	ENSG00000227744	LINC01940
76	85	83	13	5	25	ENSG00000174939	ASPHD1
91	204	240	1551	2221	1920	ENSG00000101447	FAM83D
1255	926	1286	189	252	181	ENSG00000107281	NPDC1
4	10	9	0	0	0	ENSG00000260420	LINC02182
20	5	4	94	74	60	ENSG00000143196	DPT
27	20	28	8	1	6	ENSG00000223485	LINC01615
36	24	69	7	9	0	ENSG00000156804	FBXO32
96	157	164	1239	1559	1281	ENSG00000080986	NDC80
4	10	6	1	0	0	ENSG00000176933	TOB2P1
92	108	81	9	20	14	ENSG00000196605	ZNF846
0	0	0	5	9	3	ENSG00000284634	AC092821.3
46	26	38	143	201	120	ENSG00000103995	CEP152
5	3	1	20	32	17	ENSG00000267201	LINC01775
41	12	52	188	213	182	ENSG00000183801	OLFML1
95	204	189	1602	1758	1541	ENSG00000024526	DEPDC1
9	13	8	0	1	2	ENSG00000265096	C1QTNF1-AS1
10	15	26	1	2	5	ENSG00000105427	CNFN
177	223	227	2	0	2	ENSG00000233308	OSTN-AS1
106	11	12	1	9	8	ENSG00000268350	FAM156A
22	38	67	0	3	6	ENSG00000267669	AC098847.1
16	8	16	0	3	0	ENSG00000257551	HLX-AS1
18	16	16	3	2	3	ENSG00000108688	CCL7
13	17	16	3	1	0	ENSG00000205795	CYS1
75	120	96	360	482	358	ENSG00000256663	AC112777.1
62	81	72	568	834	520	ENSG00000118193	KIF14
38	20	27	7	6	3	ENSG00000166046	TCP11L2
131	74	109	13	13	17	ENSG00000163536	SERPINI1
81	124	115	707	1022	806	ENSG00000144554	FANCD2
1	7	1	26	20	27	ENSG00000213626	LBH
1	2	1	21	19	15	ENSG00000241634	AC069499.1
31	22	18	4	3	5	ENSG00000230084	AC006059.1
363	732	791	3695	4403	4494	ENSG00000167900	TK1
22	2	8	0	1	0	ENSG00000253628	AC110011.1
40	55	60	257	350	300	ENSG00000136122	BORA
145	367	377	1784	2023	2278	ENSG00000167513	CDT1
29	8	36	6	7	5	ENSG00000160408	ST6GALNAC6
19	18	15	123	129	125	ENSG00000138587	MNS1
679	1130	1218	7236	8551	8784	ENSG00000134057	CCNB1
7	8	10	33	57	204	ENSG00000164283	ESM1
883	927	976	218	228	244	ENSG00000158828	PINK1
175	175	219	17	12	11	ENSG00000172399	MYOZ2
23	9	27	5	2	2	ENSG00000165474	GJB2
230	474	469	2364	3107	3178	ENSG00000237649	KIFC1
19	2	15	2	1	0	ENSG00000112599	GUCA1B
3	20	24	0	2	1	ENSG00000117600	PLPPR4
0	0	0	6	6	7	ENSG00000134962	KLB
14	19	15	1	2	2	ENSG00000115339	GALNT3
40	12	9	7	0	2	ENSG00000142611	PRDM16
68	60	42	16	9	11	ENSG00000177335	C8orf31
27	11	35	2	2	0	ENSG00000133800	LYVE1
33	59	81	334	675	424	ENSG00000179750	APOBEC3B
7	4	14	0	0	0	ENSG00000140519	RHCG
2	36	11	78	46	124	ENSG00000100842	EFS
24	13	9	126	116	40	ENSG00000283787	AC051649.2
9	12	12	0	0	0	ENSG00000130518	IQCN
217	82	121	25	22	49	ENSG00000115009	CCL20
73	65	24	10	4	14	ENSG00000072954	TMEM38A
244	304	390	1216	1382	1265	ENSG00000029993	HMGB3
137	43	126	28	27	10	ENSG00000268895	A1BG-AS1
19	23	35	1	4	5	ENSG00000196730	DAPK1
