AD_T3_T5_1	AD_T3_T5_2	AD_T3_T5_3	AD_T3_T5_4	AD_T3_T5_5	AD_T3_T5_6	AD_T8_1	AD_T8_2	AD_T8_3	gene_id	gene
0	2	0	0	0	0	10	11	5	ENSG00000213417	KRTAP2-4
17	19	27	39	40	60	11	11	2	ENSG00000152078	TMEM56
6	3	3	4	0	4	34	15	12	ENSG00000232679	LINC01705
5	2	0	11	13	14	0	0	1	ENSG00000125531	FNDC11
341	260	408	358	271	655	22	174	61	ENSG00000112655	PTK7
6	3	2	1	2	0	12	13	9	ENSG00000251248	AC139720.2
25216	10244	11758	14116	6716	9433	57623	56365	57489	ENSG00000115461	IGFBP5
772	989	933	373	354	414	137	155	98	ENSG00000135451	TROAP
2	3	0	2	3	2	6	10	9	ENSG00000167483	FAM129C
3	6	0	7	12	3	13	24	34	ENSG00000244459	AC147067.1
46	51	56	17	23	22	6	6	8	ENSG00000231007	CDC20P1
194	467	234	136	179	151	1501	875	1155	ENSG00000169862	CTNND2
2	9	6	5	14	7	33	14	44	ENSG00000227619	AL391056.1
3	0	0	2	2	1	22	23	49	ENSG00000106483	SFRP4
6	6	7	5	6	2	0	1	0	ENSG00000279019	AC009090.4
6	30	6	14	29	10	3	4	3	ENSG00000114541	FRMD4B
15	15	25	36	43	59	245	184	182	ENSG00000002745	WNT16
20	5	26	67	39	56	191	200	96	ENSG00000173641	HSPB7
0	0	0	0	0	2	4	12	3	ENSG00000260420	LINC02182
23	7	12	23	26	5	4	2	2	ENSG00000271579	AC078880.3
7696	2337	1157	4764	1338	695	21499	13323	11543	ENSG00000116690	PRG4
9	4	6	14	20	18	1	0	3	ENSG00000261572	AC097639.1
0	1	0	0	0	1	9	2	13	ENSG00000231971	AL078590.2
2	0	2	3	12	5	89	72	97	ENSG00000233308	OSTN-AS1
6	10	14	17	9	15	6	2	0	ENSG00000257815	LINC01481
11	10	21	16	16	21	2	1	3	ENSG00000271857	AL096865.1
1	6	2	2	2	0	23	8	19	ENSG00000171509	RXFP1
26	20	27	86	75	63	7	14	8	ENSG00000213626	LBH
0	1	2	3	5	4	12	14	9	ENSG00000184060	ADAP2
3695	4403	4494	2656	2597	2788	806	944	645	ENSG00000167900	TK1
2	20	11	12	13	14	4	2	1	ENSG00000230712	GGTLC4P
17	12	11	45	27	16	138	94	98	ENSG00000172399	MYOZ2
33	40	38	270	202	286	25	25	19	ENSG00000092068	SLC7A8
0	2	1	1	1	0	7	11	11	ENSG00000117600	PLPPR4
31	23	15	630	612	412	11	24	36	ENSG00000169174	PCSK9
1	2	2	4	6	2	17	13	5	ENSG00000115339	GALNT3
2	2	0	0	4	0	20	10	29	ENSG00000133800	LYVE1
334	675	424	168	318	162	67	63	81	ENSG00000179750	APOBEC3B
