UB_T10_T12_1	UB_T10_T12_2	UB_T10_T12_3	UB_T10_T12_4	UB_T10_T12_5	UB_T10_T12_6	UB_T3_T5_1	UB_T3_T5_2	UB_T3_T5_3	UB_T3_T5_4	UB_T3_T5_5	UB_T3_T5_6	gene_id	gene
6	11	22	3	43	15	3	1	12	3	1	3	ENSG00000213417	KRTAP2-4
0	2	11	0	2	18	0	0	0	0	0	0	ENSG00000278530	CHMP1B2P
763	532	3340	853	663	5164	219	100	62	1031	692	311	ENSG00000196611	MMP1
1	9	56	15	5	105	5	1	2	4	8	15	ENSG00000077063	CTTNBP2
106	190	183	302	319	584	1217	2103	1289	1052	693	735	ENSG00000066279	ASPM
0	0	0	0	1	0	10	15	10	3	5	1	ENSG00000163362	INAVA
5	2	5	16	5	7	3	0	4	1	2	0	ENSG00000165807	PPP1R36
1	1	1	1	7	0	5	19	28	7	26	54	ENSG00000113532	ST8SIA4
1	3	4	7	1	1	9	11	21	14	14	24	ENSG00000006788	MYH13
10	2	1	11	4	9	0	0	0	1	1	2	ENSG00000216331	HIST1H1PS1
6	1	4	8	9	3	2	0	1	1	0	0	ENSG00000272196	HIST2H2AA4
4	6	6	3	5	10	5	32	51	6	28	71	ENSG00000115896	PLCL1
10	9	21	11	6	10	106	25	44	83	42	51	ENSG00000158164	TMSB15A
5	1	7	1	0	0	3	5	33	5	4	25	ENSG00000223865	HLA-DPB1
10	8	16	20	16	22	0	2	11	3	1	5	ENSG00000105246	EBI3
3	4	9	9	2	18	3	0	0	3	1	2	ENSG00000187122	SLIT1
5	5	3	0	0	5	4	17	53	6	4	22	ENSG00000248958	ZSWIM5P3
5	113	21	34	165	28	1	8	0	0	13	0	ENSG00000115919	KYNU
24	29	23	19	16	7	5	6	5	0	7	1	ENSG00000140297	GCNT3
1	17	4	4	15	2	1	0	3	1	1	1	ENSG00000006747	SCIN
133	346	382	161	379	475	50	84	62	56	42	18	ENSG00000175084	DES
7	0	0	28	12	1	1	0	0	3	0	1	ENSG00000225886	AL445490.1
6	10	3	4	10	2	0	2	1	3	0	1	ENSG00000173838	MARCH10
75	31	4	465	124	21	10	11	4	89	12	8	ENSG00000137959	IFI44L
13	22	95	24	42	232	2	0	2	0	1	0	ENSG00000002745	WNT16
109	252	288	411	442	691	1674	2601	1775	1583	967	967	ENSG00000117724	CENPF
0	2	0	2	2	1	6	8	10	6	6	4	ENSG00000158813	EDA
15	21	3	14	18	3	4	0	0	1	2	4	ENSG00000157445	CACNA2D3
1	8	3	13	22	17	2	2	2	0	3	1	ENSG00000154736	ADAMTS5
3	18	2	2	4	0	0	0	2	0	1	1	ENSG00000116690	PRG4
1	0	4	4	1	4	12	9	3	22	30	9	ENSG00000143494	VASH2
128	38	15	194	109	36	2	1	6	7	6	12	ENSG00000125730	C3
5	12	17	8	8	58	4	1	2	9	7	3	ENSG00000157214	STEAP2
2	7	3	11	6	0	24	20	11	24	25	24	ENSG00000134755	DSC2
6	56	72	3	19	118	1	12	4	1	16	0	ENSG00000183801	OLFML1
9	46	31	21	81	47	0	4	2	2	6	3	ENSG00000233308	OSTN-AS1
195	366	957	181	227	851	42	90	26	76	145	50	ENSG00000163710	PCOLCE2
22	6	1	19	0	0	36	27	77	35	22	45	ENSG00000180287	PLD5
29	61	63	123	134	166	435	767	461	407	280	255	ENSG00000118193	KIF14
16	34	207	46	72	380	18	33	17	20	16	19	ENSG00000078018	MAP2
0	0	0	0	0	0	9	34	7	4	11	0	ENSG00000137726	FXYD6
65	101	14	53	149	17	1	0	1	17	8	5	ENSG00000241644	INMT
0	0	0	7	2	6	11	27	15	13	7	5	ENSG00000241634	AC069499.1
24	55	8	17	69	4	5	10	3	3	21	1	ENSG00000184060	ADAP2
10	6	8	16	2	5	167	83	88	66	20	56	ENSG00000118513	MYB
6	4	7	10	0	10	2	1	0	0	1	0	ENSG00000253628	AC110011.1
399	33	16	1338	219	102	62	24	28	234	16	25	ENSG00000111335	OAS2
23	2	22	27	0	33	5	0	2	3	0	0	ENSG00000137473	TTC29
16	66	2	41	87	2	9	9	2	13	10	6	ENSG00000145808	ADAMTS19
8	7	12	23	13	14	2	0	2	6	5	4	ENSG00000172399	MYOZ2
4	1	3	4	1	1	8	9	18	10	16	25	ENSG00000196632	WNK3
12	22	3	12	28	3	1	4	2	5	7	2	ENSG00000177335	C8orf31
12	3	4	13	4	0	0	3	0	0	0	0	ENSG00000140519	RHCG
87	63	52	338	403	110	9	12	14	18	3	14	ENSG00000115009	CCL20
20	23	3	33	12	8	127	125	67	73	80	72	ENSG00000187068	C3orf70
252	207	287	208	141	257	31	48	31	110	64	59	ENSG00000219607	PPP1R3G
16	1	0	9	2	0	58	42	5	44	25	4	ENSG00000073861	TBX21
3	13	2	7	10	18	0	2	0	3	5	1	ENSG00000168309	FAM107A
13	2	3	24	2	1	2	1	0	1	1	2	ENSG00000010030	ETV7
52	20	9	52	9	2	8	5	7	0	7	3	ENSG00000242173	ARHGDIG
67	16	3	41	12	6	5	0	4	12	0	0	ENSG00000183114	FAM43B
0	1	0	0	0	2	2	1	11	11	20	24	ENSG00000255690	TRIL
2	6	8	4	7	9	1	0	0	5	1	2	ENSG00000214376	VSTM5
185	18	30	306	82	26	23	10	13	81	19	22	ENSG00000165949	IFI27
0	6	0	0	5	6	15	8	9	22	29	9	ENSG00000139946	PELI2
14	44	13	20	24	21	1	5	7	2	7	2	ENSG00000163815	CLEC3B
113	63	80	99	70	50	996	497	245	490	368	210	ENSG00000162595	DIRAS3
28	22	15	14	17	18	232	152	85	109	82	66	ENSG00000007968	E2F2
3	0	0	0	0	3	5	1	1	48	13	0	ENSG00000164935	DCSTAMP
8	7	0	12	26	1	1	0	2	1	0	0	ENSG00000086696	HSD17B2
1	1	0	7	3	0	41	19	24	40	10	5	ENSG00000275591	XKR5
1	2	0	0	4	1	1	4	3	20	12	6	ENSG00000155961	RAB39B
0	1	0	2	1	2	1	10	6	4	7	4	ENSG00000174527	MYO1H
15	10	19	7	16	26	2	0	4	0	0	1	ENSG00000187094	CCK
2	1	0	0	0	3	10	1	8	12	3	6	ENSG00000144834	TAGLN3
4	20	7	15	19	7	0	0	1	6	9	3	ENSG00000250337	PURPL
2	3	0	2	0	1	6	0	0	44	10	5	ENSG00000133055	MYBPH
11	8	20	10	10	17	1	0	1	1	3	8	ENSG00000280241	AC079298.3
23	25	55	72	87	93	487	335	266	146	122	152	ENSG00000189057	FAM111B
10	32	22	23	103	35	8	9	5	10	13	11	ENSG00000112183	RBM24
12	1	15	23	8	21	0	0	4	0	0	0	ENSG00000007908	SELE
4	8	4	11	18	24	3	0	1	1	0	0	ENSG00000170044	ZPLD1
10	5	11	16	9	20	0	1	3	2	3	10	ENSG00000161082	CELF5
12	13	8	35	9	10	1	0	5	4	4	6	ENSG00000182836	PLCXD3
133	34	20	133	32	6	1011	736	728	879	573	487	ENSG00000176887	SOX11
78	108	23	47	66	9	161	272	281	305	411	445	ENSG00000156466	GDF6
20	19	66	10	2	127	10	8	6	21	10	2	ENSG00000123407	HOXC12
87	86	78	149	340	74	6	5	25	13	16	78	ENSG00000125538	IL1B
