gene_id	gene	log2FoldChange	padj	stat
ENSG00000127720	METTL25	-0.345	0.5421	None
ENSG00000051596	THOC3	0.2259	0.7032	None
ENSG00000135541	AHI1	0.2031	0.8418	None
ENSG00000143376	SNX27	0.1071	0.8047	None
ENSG00000172172	MRPL13	0.3374	0.1788	None
ENSG00000132604	TERF2	0.0162	0.9712	None
ENSG00000131724	IL13RA1	-0.3963	0.1594	None
ENSG00000162676	GFI1	0.9488	0.5851	None
ENSG00000213417	KRTAP2-4	-0.5066	0.8578	None
ENSG00000128595	CALU	-0.0316	0.9529	None
ENSG00000136531	SCN2A	-1.318	0.1729	None
ENSG00000175220	ARHGAP1	-0.2093	0.371	None
ENSG00000168283	BMI1	0.0742	0.9417	None
ENSG00000034510	TMSB10	0.0127	0.9777	None
ENSG00000231351	AC111200.2	-0.3314	0.744	None
ENSG00000258472	AC005726.1	0.5254	0.4331	None
ENSG00000174684	B4GAT1	-0.1177	0.7759	None
ENSG00000131652	THOC6	0.777	0.0094	None
ENSG00000107185	RGP1	-0.2118	0.586	None
ENSG00000256967	AC018653.3	0.2437	0.8928	None
ENSG00000248449	PCDHGB8P	-0.3708	0.8672	None
ENSG00000119314	PTBP3	0.5493	0.124	None
ENSG00000232952	AL512844.1	0.1911	0.9353	None
ENSG00000196652	ZKSCAN5	-0.0724	0.8632	None
ENSG00000100568	VTI1B	-0.1349	0.5887	None
ENSG00000108468	CBX1	0.456	0.0802	None
ENSG00000130349	C6orf203	-0.085	0.8893	None
ENSG00000113163	COL4A3BP	0.3336	0.5199	None
ENSG00000232977	LINC00327	-0.646	0.4951	None
ENSG00000155760	FZD7	0.043	0.9661	None
ENSG00000125266	EFNB2	-0.0227	0.9801	None
ENSG00000107404	DVL1	-0.175	0.5577	None
ENSG00000105829	BET1	0.1215	0.7115	None
ENSG00000160111	CPAMD8	-0.2865	0.8874	None
ENSG00000165985	C1QL3	-0.1807	0.9635	None
ENSG00000285331	AC010999.3	0.2299	0.8309	None
ENSG00000169026	SLC49A3	-0.2639	0.6884	None
ENSG00000196220	SRGAP3	-0.7568	0.5551	None
ENSG00000232811	AL360270.1	-0.3266	0.9434	None
ENSG00000131238	PPT1	0.0121	0.9814	None
ENSG00000088451	TGDS	-0.0489	0.9513	None
ENSG00000279631	AL158211.5	-0.8648	0.5018	None
ENSG00000099330	OCEL1	-0.2776	0.5833	None
ENSG00000155792	DEPTOR	-0.3393	0.8374	None
ENSG00000101146	RAE1	0.2031	0.6409	None
ENSG00000105053	VRK3	-0.2621	0.312	None
ENSG00000121671	CRY2	-0.4721	0.0076	None
ENSG00000100577	GSTZ1	-0.1865	0.7377	None
ENSG00000213963	AC019080.1	0.1789	0.9403	None
ENSG00000181852	RNF41	-0.0575	0.9293	None
ENSG00000167553	TUBA1C	0.1412	0.8513	None
ENSG00000082258	CCNT2	0.4157	0.5233	None
ENSG00000116062	MSH6	0.6297	0.2822	None
ENSG00000186577	SMIM29	-0.0438	0.9379	None
ENSG00000154222	CC2D1B	-0.1492	0.6202	None
ENSG00000047315	POLR2B	0.3413	0.2523	None
ENSG00000186281	GPAT2	0.2893	0.8491	None
ENSG00000115159	GPD2	0.1912	0.7921	None
ENSG00000162636	FAM102B	0.7596	0.027	None
ENSG00000044115	CTNNA1	-0.1448	0.4248	None
ENSG00000212694	LINC01089	0.2639	0.767	None
ENSG00000088766	CRLS1	0.0836	0.7747	None
ENSG00000143457	GOLPH3L	-3e-4	0.9997	None
ENSG00000132612	VPS4A	-0.0281	0.9513	None
ENSG00000163481	RNF25	-0.1274	0.7413	None
ENSG00000145868	FBXO38	0.0581	0.9037	None
ENSG00000070669	ASNS	-0.0052	0.9983	None
ENSG00000219451	RPL23P8	0.0895	0.9597	None
ENSG00000198899	MT-ATP6	-0.1619	0.6279	None
ENSG00000178585	CTNNBIP1	-0.0518	0.9273	None
ENSG00000267750	RUNDC3A-AS1	-0.3355	0.9022	None
ENSG00000257773	ST13P3	-0.1059	0.972	None
ENSG00000077312	SNRPA	0.3283	0.172	None
ENSG00000132275	RRP8	0.081	0.8681	None
ENSG00000204160	ZDHHC18	0.0864	0.7388	None
ENSG00000115310	RTN4	-0.3825	0.046	None
ENSG00000119669	IRF2BPL	-0.3554	0.5391	None
ENSG00000186063	AIDA	0.1843	0.7557	None
ENSG00000180376	CCDC66	0.2117	0.8617	None
ENSG00000270058	AC040170.1	-0.2512	0.9297	None
ENSG00000074356	NCBP3	0.3227	0.0368	None
ENSG00000007384	RHBDF1	-0.2546	0.3975	None
ENSG00000145861	C1QTNF2	0.9251	0.2459	None
ENSG00000129559	NEDD8	-0.1559	0.6385	None
ENSG00000254893	AC113404.3	0.3294	0.7794	None
ENSG00000256683	ZNF350	0.0766	0.9478	None
ENSG00000267575	AC006504.5	-0.1313	0.8409	None
ENSG00000041353	RAB27B	0.694	0.4297	None
ENSG00000148229	POLE3	0.3014	0.5381	None
ENSG00000143545	RAB13	-0.2256	0.5391	None
ENSG00000092470	WDR76	1.2373	0.03	None
ENSG00000119688	ABCD4	0.0416	0.9507	None
ENSG00000149328	GLB1L2	0.8593	0.5257	None
ENSG00000204291	COL15A1	1.1859	0.0725	None
ENSG00000170989	S1PR1	-0.0313	0.984	None
ENSG00000182118	FAM89A	-0.3141	0.5648	None
ENSG00000139168	ZCRB1	0.0427	0.8992	None
ENSG00000212864	RNF208	0.1362	0.9417	None
ENSG00000124164	VAPB	0.1836	0.5763	None
ENSG00000278311	GGNBP2	0.1424	0.7135	None
ENSG00000166974	MAPRE2	0.354	0.2421	None
ENSG00000140650	PMM2	0.062	0.8631	None
ENSG00000130856	ZNF236	0.2761	0.5833	None
ENSG00000162704	ARPC5	-0.0567	0.8766	None
ENSG00000175305	CCNE2	1.3622	0.0747	None
ENSG00000196810	CTBP1-AS2	-0.157	0.7678	None
ENSG00000204764	RANBP17	-0.1472	0.8539	None
ENSG00000107566	ERLIN1	0.2231	0.6153	None
ENSG00000136982	DSCC1	0.6924	0.2052	None
ENSG00000145919	BOD1	0.1266	0.6389	None
ENSG00000184792	OSBP2	-0.1479	0.8965	None
ENSG00000151746	BICD1	0.0264	0.9632	None
ENSG00000065613	SLK	0.251	0.764	None
ENSG00000163125	RPRD2	0.0334	0.9328	None
ENSG00000178665	ZNF713	0.1575	0.9507	None
ENSG00000168646	AXIN2	0.0282	0.9882	None
ENSG00000014914	MTMR11	-0.6161	0.0017	None
ENSG00000225648	SBDSP1	0.0527	0.9434	None
ENSG00000113391	FAM172A	0.2511	0.6773	None
ENSG00000066135	KDM4A	-0.0213	0.9784	None
ENSG00000151718	WWC2	0.233	0.7166	None
ENSG00000186594	MIR22HG	0.1906	0.6978	None
