UB_T3_T5_1	UB_T3_T5_2	UB_T3_T5_3	UB_T3_T5_4	UB_T3_T5_5	UB_T3_T5_6	UB_T8_1	UB_T8_2	UB_T8_3	gene_id	gene
47	122	16	62	20	4	901	579	108	ENSG00000135114	OASL
397	592	302	653	227	282	4624	1341	659	ENSG00000119917	IFIT3
4	17	53	6	4	22	0	0	1	ENSG00000248958	ZSWIM5P3
10	13	8	64	51	8	4	5	2	ENSG00000215914	MMP23A
50	84	62	56	42	18	183	454	240	ENSG00000175084	DES
2	0	2	0	1	0	9	22	35	ENSG00000002745	WNT16
2	1	6	7	6	12	93	38	7	ENSG00000125730	C3
4	1	2	9	7	3	20	4	56	ENSG00000157214	STEAP2
12	14	8	13	12	8	4	2	2	ENSG00000267201	LINC01775
0	4	2	2	6	3	10	42	30	ENSG00000233308	OSTN-AS1
18	33	17	20	16	19	71	25	513	ENSG00000078018	MAP2
9	34	7	4	11	0	0	0	0	ENSG00000137726	FXYD6
10	66	26	26	57	7	4	12	2	ENSG00000167244	IGF2
167	83	88	66	20	56	10	3	16	ENSG00000118513	MYB
5	0	2	3	0	0	39	5	28	ENSG00000137473	TTC29
2	1	11	11	20	24	0	0	0	ENSG00000255690	TRIL
996	497	245	490	368	210	137	109	84	ENSG00000162595	DIRAS3
232	152	85	109	82	66	26	24	9	ENSG00000007968	E2F2
2	1	2	1	3	2	5	12	13	ENSG00000251364	AC107884.1
0	4	5	3	2	2	11	41	6	ENSG00000265735	RN7SL5P
1	0	5	4	4	6	33	9	16	ENSG00000182836	PLCXD3
1011	736	728	879	573	487	301	99	59	ENSG00000176887	SOX11
16	18	11	16	12	8	4	1	5	ENSG00000135299	ANKRD6
12	19	16	27	12	12	415	19	285	ENSG00000187243	MAGED4B
344	409	144	526	89	53	4343	1093	399	ENSG00000185745	IFIT1
0	1	0	0	7	7	13	38	21	ENSG00000125845	BMP2
3	2	1	7	4	4	12	17	14	ENSG00000131746	TNS4
124	218	303	142	61	163	63	26	42	ENSG00000114115	RBP1
106	100	122	378	162	189	480	286	1648	ENSG00000138675	FGF5
1	0	1	1	6	4	18	2	40	ENSG00000060140	STYK1
3	4	3	4	4	1	13	12	15	ENSG00000113389	NPR3
1	11	11	4	24	10	10	50	309	ENSG00000165300	SLITRK5
60	30	14	42	25	9	7	1	0	ENSG00000066735	KIF26A
19	22	0	14	10	2	0	0	0	ENSG00000229676	ZNF492
4	7	14	7	12	8	0	0	0	ENSG00000112559	MDFI
100	82	53	172	59	66	1077	260	156	ENSG00000138642	HERC6
26	46	82	16	27	45	14	8	9	ENSG00000109072	VTN
4	4	8	1	13	7	15	27	40	ENSG00000112981	NME5
10	21	16	12	9	19	4	0	3	ENSG00000188818	ZDHHC11
51	34	24	27	22	12	5	6	4	ENSG00000197977	ELOVL2
0	2	0	0	2	0	3	20	30	ENSG00000162631	NTNG1
176	319	500	149	176	653	87	85	55	ENSG00000162692	VCAM1
27	10	24	22	3	11	55	66	111	ENSG00000107562	CXCL12
1	2	1	4	0	3	8	5	36	ENSG00000188158	NHS
11	9	3	12	34	13	56	84	228	ENSG00000155816	FMN2
28	45	15	23	24	27	128	145	298	ENSG00000188487	INSC
40	46	210	47	21	56	14	15	16	ENSG00000196562	SULF2
21	39	42	23	30	27	9	6	1	ENSG00000203727	SAMD5
814	802	463	627	469	394	145	137	166	ENSG00000186193	SAPCD2
7	13	2	3	3	1	84	69	19	ENSG00000116701	NCF2
5	17	3	3	8	12	24	61	18	ENSG00000197261	C6orf141
13	11	3	11	8	7	13	26	241	ENSG00000186897	C1QL4
1	16	9	16	54	17	43	188	92	ENSG00000162415	ZSWIM5
13	20	77	3	20	80	0	4	8	ENSG00000120594	PLXDC2
23	19	15	24	60	30	58	196	157	ENSG00000170743	SYT9
9	26	10	17	48	7	62	118	97	ENSG00000103449	SALL1
28	108	73	11	49	45	3	4	11	ENSG00000109193	SULT1E1
483	333	253	884	617	327	116	99	33	ENSG00000101265	RASSF2
3	14	2	1	0	2	33	31	18	ENSG00000073737	DHRS9
23	31	19	41	27	37	6	5	11	ENSG00000280152	AC009078.3
5	3	0	2	8	1	4	62	14	ENSG00000126778	SIX1
4	26	38	6	8	22	1	2	4	ENSG00000155966	AFF2
18	12	19	8	8	10	2	2	2	ENSG00000136943	CTSV
146	826	345	45	130	97	10	20	12	ENSG00000133110	POSTN
6	17	19	16	5	13	0	0	4	ENSG00000204361	NXPE2
227	289	120	367	90	109	3249	799	422	ENSG00000119922	IFIT2
21	29	36	6	24	30	5	1	3	ENSG00000182985	CADM1
3	4	0	4	5	0	9	20	38	ENSG00000111846	GCNT2
0	1	2	0	0	1	2	8	28	ENSG00000177675	CD163L1
13	10	12	13	10	29	4	3	0	ENSG00000264067	AC005291.1
37	12	22	34	17	18	9	2	2	ENSG00000153094	BCL2L11
156	59	48	241	88	156	35	32	19	ENSG00000172379	ARNT2
8	19	18	7	11	7	0	4	1	ENSG00000107518	ATRNL1
