gene_id	gene	log2FoldChange	padj	stat
ENSG00000127720	METTL25	-0.3682	0.6253	None
ENSG00000051596	THOC3	-0.4411	0.0403	None
ENSG00000135541	AHI1	-0.0957	0.8561	None
ENSG00000143376	SNX27	0.2932	0.2848	None
ENSG00000172172	MRPL13	-0.2998	0.1789	None
ENSG00000132604	TERF2	-0.0301	0.9357	None
ENSG00000131724	IL13RA1	0.3056	0.2663	None
ENSG00000128595	CALU	0.0022	0.995	None
ENSG00000136531	SCN2A	0.9204	0.2938	None
ENSG00000175220	ARHGAP1	0.0537	0.8525	None
ENSG00000168283	BMI1	-0.3274	0.2578	None
ENSG00000034510	TMSB10	-0.1502	0.464	None
ENSG00000258472	AC005726.1	-0.089	0.9369	None
ENSG00000174684	B4GAT1	0.2866	0.211	None
ENSG00000131652	THOC6	0.2951	0.4845	None
ENSG00000107185	RGP1	0.3801	0.0867	None
ENSG00000119314	PTBP3	-0.1669	0.5235	None
ENSG00000196652	ZKSCAN5	0.1506	0.6855	None
ENSG00000100568	VTI1B	-0.1251	0.6439	None
ENSG00000108468	CBX1	-0.403	0.0167	None
ENSG00000130349	C6orf203	-0.3458	0.3293	None
ENSG00000113163	COL4A3BP	0.0934	0.7905	None
ENSG00000155760	FZD7	0.5433	0.096	None
ENSG00000125266	EFNB2	-0.0932	0.8401	None
ENSG00000107404	DVL1	-0.2754	0.1403	None
ENSG00000105829	BET1	0.0196	0.9668	None
ENSG00000169026	SLC49A3	-0.272	0.5864	None
ENSG00000131238	PPT1	-0.1684	0.5396	None
ENSG00000088451	TGDS	-0.1387	0.7943	None
ENSG00000099330	OCEL1	0.5411	0.1104	None
ENSG00000155792	DEPTOR	-0.5547	0.7874	None
ENSG00000101146	RAE1	-0.4007	0.0996	None
ENSG00000105053	VRK3	-0.0426	0.9209	None
ENSG00000121671	CRY2	-0.0799	0.8506	None
ENSG00000100577	GSTZ1	0.0658	0.914	None
ENSG00000181852	RNF41	0.416	0.0383	None
ENSG00000167553	TUBA1C	-0.7675	0	None
ENSG00000082258	CCNT2	-0.1815	0.648	None
ENSG00000116062	MSH6	-0.8637	4e-4	None
ENSG00000186577	SMIM29	-0.161	0.611	None
ENSG00000154222	CC2D1B	0.1397	0.5736	None
ENSG00000047315	POLR2B	-0.0887	0.7588	None
ENSG00000186281	GPAT2	-0.4373	0.4329	None
ENSG00000115159	GPD2	-0.2383	0.4852	None
ENSG00000162636	FAM102B	-0.0856	0.8718	None
ENSG00000044115	CTNNA1	0.1065	0.6427	None
ENSG00000212694	LINC01089	-0.1185	0.9196	None
ENSG00000088766	CRLS1	-0.0676	0.8413	None
ENSG00000143457	GOLPH3L	0.3152	0.2388	None
ENSG00000132612	VPS4A	-0.0031	0.9929	None
ENSG00000163481	RNF25	-0.154	0.5716	None
ENSG00000145868	FBXO38	0.1573	0.5401	None
ENSG00000070669	ASNS	0.563	0.6465	None
ENSG00000198899	MT-ATP6	-0.1651	0.5408	None
ENSG00000178585	CTNNBIP1	0.2523	0.3459	None
ENSG00000077312	SNRPA	-0.0966	0.7899	None
ENSG00000132275	RRP8	-0.2166	0.4607	None
ENSG00000204160	ZDHHC18	-0.0235	0.952	None
ENSG00000115310	RTN4	0.2197	0.2936	None
ENSG00000119669	IRF2BPL	0.7764	0	None
ENSG00000186063	AIDA	-0.2151	0.5804	None
ENSG00000180376	CCDC66	-0.389	0.4587	None
ENSG00000074356	NCBP3	-0.0791	0.8061	None
ENSG00000007384	RHBDF1	0.1018	0.7492	None
ENSG00000145861	C1QTNF2	-1.1231	0.037	None
ENSG00000129559	NEDD8	-0.1769	0.5192	None
ENSG00000254893	AC113404.3	-0.4888	0.6237	None
ENSG00000256683	ZNF350	-0.0176	0.9855	None
ENSG00000267575	AC006504.5	-0.2578	0.7068	None
ENSG00000041353	RAB27B	-0.5878	0.5898	None
ENSG00000148229	POLE3	-0.5811	0.0039	None
ENSG00000143545	RAB13	0.2314	0.3079	None
ENSG00000092470	WDR76	-1.0474	0.0024	None
ENSG00000119688	ABCD4	0.4176	0.1254	None
ENSG00000204291	COL15A1	0.0012	0.9988	None
ENSG00000170989	S1PR1	-1.041	0.2122	None
ENSG00000182118	FAM89A	0.0395	0.9564	None
ENSG00000139168	ZCRB1	-0.0333	0.9282	None
ENSG00000212864	RNF208	1.4646	0.008	None
