ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-69620	Cell Cycle Checkpoints	254	-0.6312600135102745	-2.5828010756631663	1e-10	7.827777777777777e-9	6.304093567251461e-9	2439	tags=39%, list=15%, signal=34%	4194/9184/23279/91687/55055/84515/1111/4361/79023/1060/4175/378708/57122/6119/7157/11073/990/55920/23421/23594/83695/5932/54908/5982/9793/1027/80010/55839/1017/4172/8317/5984/55166/1763/79172/10926/27338/993/9134/5985/4174/9735/672/9656/9156/2491/79682/401541/4173/4171/5983/54820/580/641/9088/116028/4998/54821/63967/4085/3619/147841/64105/11130/81930/151246/8318/7465/55388/151648/83990/64946/4176/2810/7468/220134/83540/699/1062/995/891/10403/701/983/55143/991/332/9133/9212/1058/79019/11004/57405/11065/51512/1063/890/57082/5347
R-HSA-69278	Cell Cycle, Mitotic	482	-0.5871892901322794	-2.537401112553825	1e-10	7.827777777777777e-9	6.304093567251461e-9	2598	tags=38%, list=16%, signal=33%	2033/23175/7029/79441/91750/25836/115106/7840/9184/9702/23279/91687/9631/55125/51343/23649/55055/84515/8556/23636/79023/9662/440145/53371/1019/1060/4175/378708/55706/121441/57122/6119/7157/990/9126/63943/9738/29781/10426/5427/55920/5426/23421/23594/10592/54908/4926/7443/5982/93323/286826/9793/8243/23047/81027/6502/1027/84131/55839/1017/4172/55835/10714/8317/64785/5116/5885/5984/55166/113457/1763/79172/10926/27338/84930/10000/993/994/28227/9134/11064/23310/5985/23354/1869/4174/2237/9735/5111/2491/79682/5424/401541/4173/51053/9700/1163/1104/3930/51659/4171/54930/5983/84296/5933/5577/22995/54820/26271/9088/113130/79866/4998/54821/4085/1719/3619/5422/6790/147841/54892/157570/64105/3978/9837/11130/81930/151246/8318/7465/6241/55388/1870/7083/151648/64946/9232/9493/4176/10733/22974/10051/5557/7112/220134/81620/64151/3161/83540/699/1062/995/891/10403/701/983/7298/9918/55143/991/23397/332/9133/9212/1058/79019/7153/4605/4001/11004/57405/11065/51512/1063/890/57082/2305/4751/5347/10112/1031/1028
R-HSA-141424	Amplification of signal from the kinetochores	93	-0.6893194661972621	-2.484035893379558	1e-10	7.827777777777777e-9	6.304093567251461e-9	2422	tags=51%, list=15%, signal=43%	9184/23279/91687/55055/79023/1060/378708/57122/55920/23421/54908/9793/55839/55166/79172/9735/2491/79682/401541/54820/54821/4085/3619/147841/64105/11130/81930/151246/151648/64946/220134/83540/699/1062/10403/701/55143/991/332/9212/1058/79019/11004/57405/1063/57082/5347
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	93	-0.6893194661972621	-2.484035893379558	1e-10	7.827777777777777e-9	6.304093567251461e-9	2422	tags=51%, list=15%, signal=43%	9184/23279/91687/55055/79023/1060/378708/57122/55920/23421/54908/9793/55839/55166/79172/9735/2491/79682/401541/54820/54821/4085/3619/147841/64105/11130/81930/151246/151648/64946/220134/83540/699/1062/10403/701/55143/991/332/9212/1058/79019/11004/57405/1063/57082/5347
R-HSA-69618	Mitotic Spindle Checkpoint	110	-0.6737317328247134	-2.4675246099898085	1e-10	7.827777777777777e-9	6.304093567251461e-9	2422	tags=45%, list=15%, signal=38%	9184/23279/91687/55055/79023/1060/378708/57122/55920/23421/54908/9793/55839/55166/79172/27338/9735/2491/79682/401541/54820/54821/4085/3619/147841/64105/11130/81930/151246/151648/64946/220134/83540/699/1062/10403/701/55143/991/332/9212/1058/79019/11004/57405/11065/1063/57082/5347
R-HSA-68877	Mitotic Prometaphase	193	-0.619894222065052	-2.4482924081569633	1e-10	7.827777777777777e-9	6.304093567251461e-9	3498	tags=52%, list=22%, signal=41%	25936/22981/348235/80321/27229/10376/55755/348995/55142/55722/79902/10735/79980/55746/4957/79003/22994/79441/115106/7840/9184/9702/23279/91687/55125/55055/79023/9662/440145/1060/378708/121441/57122/9126/9738/10426/55920/23421/10592/54908/4926/93323/9793/8243/23047/81027/84131/55839/55835/5116/5885/55166/113457/79172/11064/23354/9735/2491/79682/401541/54930/5577/22995/54820/113130/54821/4085/3619/147841/64105/11130/81930/151246/151648/64946/10733/10051/220134/64151/83540/699/1062/891/10403/701/983/9918/55143/991/23397/332/9133/9212/1058/79019/11004/57405/1063/57082/4751/5347
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	117	-0.6541552725246045	-2.4103263513460633	1e-10	7.827777777777777e-9	6.304093567251461e-9	2422	tags=49%, list=15%, signal=42%	9184/23279/91687/55055/79023/1060/378708/57122/9126/55920/23421/54908/9793/8243/23047/81027/55839/5885/55166/113457/79172/9735/2491/79682/401541/54820/113130/54821/4085/3619/147841/64105/11130/81930/151246/151648/64946/220134/83540/699/1062/891/10403/701/983/55143/991/332/9133/9212/1058/79019/11004/57405/1063/57082/5347
R-HSA-69481	G2/M Checkpoints	131	-0.6298373537361259	-2.3715078357485693	1e-10	7.827777777777777e-9	6.304093567251461e-9	2246	tags=35%, list=14%, signal=30%	84515/1111/4361/4175/6119/7157/11073/990/23594/83695/5932/5982/80010/1017/4172/8317/5984/1763/10926/993/5985/4174/672/9656/9156/4173/4171/5983/580/641/9088/116028/4998/63967/8318/7465/55388/83990/4176/2810/7468/995/891/983/9133/51512
R-HSA-73886	Chromosome Maintenance	90	-0.662102646218244	-2.3628490610581694	1e-10	7.827777777777777e-9	6.304093567251461e-9	2669	tags=48%, list=17%, signal=40%	8900/23243/91687/23649/1060/378708/5931/6119/54069/23421/5982/55839/1017/51750/10714/5984/55166/1763/79172/5985/80119/2237/5111/2491/79682/5424/401541/387103/5983/641/55320/63922/5422/64105/3978/64946/11339/55355/5557/1058/79019/890/57082
R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	108	-0.6399279279407882	-2.3413262163618445	1e-10	7.827777777777777e-9	6.304093567251461e-9	2422	tags=45%, list=15%, signal=39%	9184/23279/91687/55055/79023/1060/378708/57122/55920/23421/54908/9793/81027/55839/55166/113457/79172/9735/2491/79682/401541/54820/54821/4085/3619/147841/64105/11130/81930/151246/151648/64946/220134/83540/699/1062/10403/701/55143/991/332/9212/1058/79019/11004/57405/1063/57082/5347
