ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-69278	Cell Cycle, Mitotic	482	-0.5933052606833655	-2.7748809502285607	1e-10	7.310526315789475e-9	5.623268698060943e-9	2714	tags=45%, list=19%, signal=38%	1859/55722/23354/10806/23122/10000/22822/5925/5001/2033/6418/1028/4957/27229/79959/10776/4927/1017/1875/55755/23165/91687/140609/728642/9183/996/53371/6502/23244/10426/23063/6683/80184/91750/129401/348235/28227/5982/9972/23279/57551/81929/23175/4659/27338/5928/93323/10735/10762/8556/5116/6119/115106/132660/5424/8243/378708/1030/79003/79441/5903/25909/9631/10274/113457/54801/7514/5981/80321/3796/10142/1104/5108/54820/55706/2237/9818/4175/57122/10714/55125/5985/25836/54908/3619/81027/55055/9738/440145/4174/1869/147841/9793/7175/23310/1060/5426/5984/113130/9702/55839/9837/79172/84131/7465/8318/4172/9662/6790/4173/5427/10592/8317/401541/5111/3978/5885/23594/9126/51053/7443/121441/81620/1163/990/5933/51659/3930/11130/9700/7083/9088/64785/84930/55166/220134/7840/23047/4171/26271/993/84515/79866/9212/9232/2491/84296/1058/11065/1031/1719/23397/22974/23421/64946/286826/55835/9735/10926/891/983/51512/11004/57405/9918/81930/7298/9493/4605/1763/79019/54892/64105/5983/55143/332/4176/5422/995/22995/4085/6241/5557/7112/151648/890/2305/157570/991/4998/54821/10733/9133/151246/5347/79682/55388/83540/7153/10403/699/64151/1062/3161/4751/11064/4001/9134/10112/10051/8900/701/57082/1063/1870
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	117	-0.6908356165675089	-2.772905405481515	1e-10	7.310526315789475e-9	5.623268698060943e-9	2141	tags=56%, list=15%, signal=48%	23244/23063/348235/23279/57551/81929/10735/8243/378708/79003/5903/25909/10274/113457/7514/3796/54820/57122/54908/3619/81027/55055/147841/9793/1060/113130/55839/79172/401541/5885/9126/11130/55166/220134/23047/9212/2491/1058/23421/64946/9735/891/983/11004/57405/81930/79019/64105/55143/332/4085/151648/991/54821/9133/151246/5347/79682/83540/10403/699/1062/701/57082/1063
R-HSA-68877	Mitotic Prometaphase	193	-0.6463855513077844	-2.7718592333012375	1e-10	7.310526315789475e-9	5.623268698060943e-9	2459	tags=52%, list=17%, signal=44%	4957/27229/79959/55755/91687/140609/9183/23244/10426/23063/80184/348235/23279/57551/81929/93323/10735/5116/115106/8243/378708/79003/79441/5903/25909/10274/113457/54801/7514/80321/3796/10142/5108/54820/57122/55125/54908/3619/81027/55055/9738/440145/147841/9793/1060/113130/9702/55839/79172/84131/9662/10592/401541/5885/9126/121441/11130/55166/220134/7840/23047/9212/2491/1058/23397/23421/64946/55835/9735/891/983/11004/57405/9918/81930/79019/64105/55143/332/22995/4085/151648/991/54821/10733/9133/151246/5347/79682/83540/10403/699/64151/1062/4751/11064/10051/701/57082/1063
R-HSA-141424	Amplification of signal from the kinetochores	93	-0.7184289399161308	-2.7545011622311386	1e-10	7.310526315789475e-9	5.623268698060943e-9	1977	tags=55%, list=14%, signal=48%	348235/23279/57551/81929/378708/79003/5903/25909/7514/3796/54820/57122/54908/3619/55055/147841/9793/1060/55839/79172/401541/11130/55166/220134/9212/2491/1058/23421/64946/9735/11004/57405/81930/79019/64105/55143/332/4085/151648/991/54821/151246/5347/79682/83540/10403/699/1062/701/57082/1063
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	93	-0.7184289399161308	-2.7545011622311386	1e-10	7.310526315789475e-9	5.623268698060943e-9	1977	tags=55%, list=14%, signal=48%	348235/23279/57551/81929/378708/79003/5903/25909/7514/3796/54820/57122/54908/3619/55055/147841/9793/1060/55839/79172/401541/11130/55166/220134/9212/2491/1058/23421/64946/9735/11004/57405/81930/79019/64105/55143/332/4085/151648/991/54821/151246/5347/79682/83540/10403/699/1062/701/57082/1063
R-HSA-69620	Cell Cycle Checkpoints	254	-0.6199102077760551	-2.7426398520966764	1e-10	7.310526315789475e-9	5.623268698060943e-9	1977	tags=40%, list=14%, signal=35%	348235/5982/83695/23279/57551/81929/27338/6119/378708/79003/5903/25909/1111/7514/3796/54820/4361/116028/4175/57122/7486/5985/54908/3619/55055/4174/147841/9793/1060/5984/55839/79172/7465/9656/8318/4172/4173/8317/401541/5932/23594/990/11130/9088/11073/55166/220134/7468/4171/993/84515/9212/2491/1058/11065/80010/23421/64946/672/9735/10926/9156/891/983/51512/11004/57405/81930/1763/79019/64105/5983/55143/332/4176/580/995/2810/4085/151648/83990/890/991/4998/54821/9133/151246/5347/79682/55388/83540/10403/699/1062/9134/8900/63967/701/641/57082/1063
R-HSA-69618	Mitotic Spindle Checkpoint	110	-0.6755020503252707	-2.6848306481818685	1e-10	7.310526315789475e-9	5.623268698060943e-9	1977	tags=48%, list=14%, signal=42%	348235/23279/57551/81929/27338/378708/79003/5903/25909/7514/3796/54820/57122/54908/3619/55055/147841/9793/1060/55839/79172/401541/11130/55166/220134/9212/2491/1058/11065/23421/64946/9735/11004/57405/81930/79019/64105/55143/332/4085/151648/991/54821/151246/5347/79682/83540/10403/699/1062/701/57082/1063
R-HSA-909733	Interferon alpha/beta signaling	54	0.7834323523250786	2.6525019912543066	1e-10	7.310526315789475e-9	5.623268698060943e-9	1926	tags=61%, list=13%, signal=53%	4938/4939/4599/3429/2537/91543/3434/11274/8638/4600/3134/8519/3433/54739/9636/3437/3106/684/3665/3133/3107/3664/5696/3105/3430/4940/6772/2634/3659/10379/6773/10410/25939
R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	108	-0.6647053314785594	-2.622633181786943	1e-10	7.310526315789475e-9	5.623268698060943e-9	1977	tags=49%, list=14%, signal=43%	348235/23279/57551/81929/378708/79003/5903/25909/113457/7514/3796/54820/57122/54908/3619/81027/55055/147841/9793/1060/55839/79172/401541/11130/55166/220134/9212/2491/1058/23421/64946/9735/11004/57405/81930/79019/64105/55143/332/4085/151648/991/54821/151246/5347/79682/83540/10403/699/1062/701/57082/1063
R-HSA-73886	Chromosome Maintenance	90	-0.6685403835741434	-2.5651108871595714	1e-10	7.310526315789475e-9	5.623268698060943e-9	2398	tags=53%, list=16%, signal=45%	1017/91687/51773/80119/5982/79075/5928/546/54069/8467/6119/5424/63922/378708/25913/5981/2237/7486/10714/5985/23243/1060/5984/55839/79172/401541/5111/3978/387103/55166/11339/2491/55355/1058/23421/64946/1763/79019/64105/5983/5422/5557/890/79682/55320/8900/641/57082
