gene_id	gene	group	count	log10count	group2
ENSG00000108691	CCL2	UB_T10_T12_1	3.1453700000000002	0.6175633000942169	old
ENSG00000023445	BIRC3	UB_T10_T12_1	0.47387	0.1684591790640952	old
ENSG00000147889	CDKN2A	UB_T10_T12_1	41.88059	1.6322607522439845	old
ENSG00000136244	IL6	UB_T10_T12_1	0.28305	0.10824358100546799	old
ENSG00000108691	CCL2	UB_T10_T12_2	0.17281	0.0692276603378984	old
ENSG00000023445	BIRC3	UB_T10_T12_2	0.0913	0.03794415520309849	old
ENSG00000147889	CDKN2A	UB_T10_T12_2	34.87187	1.5547540170303744	old
ENSG00000136244	IL6	UB_T10_T12_2	0.07109	0.029825964633137872	old
ENSG00000108691	CCL2	UB_T10_T12_3	1.94182	0.468616096196316	old
ENSG00000023445	BIRC3	UB_T10_T12_3	0.7357	0.23947466346518417	old
ENSG00000147889	CDKN2A	UB_T10_T12_3	36.74719	1.5768846271462216	old
ENSG00000136244	IL6	UB_T10_T12_3	0.07358	0.030834412315841393	old
ENSG00000108691	CCL2	UB_T10_T12_4	4.83662	0.7661614189782592	old
ENSG00000023445	BIRC3	UB_T10_T12_4	3.54078	0.657130460918684	old
ENSG00000147889	CDKN2A	UB_T10_T12_4	42.38293	1.6373188800862077	old
ENSG00000136244	IL6	UB_T10_T12_4	0.66676	0.22187306942639462	old
ENSG00000108691	CCL2	UB_T10_T12_5	0.99155	0.2991912143112555	old
ENSG00000023445	BIRC3	UB_T10_T12_5	2.44472	0.5371539265638318	old
ENSG00000147889	CDKN2A	UB_T10_T12_5	38.90001	1.6009730045324695	old
ENSG00000136244	IL6	UB_T10_T12_5	1.21135	0.3446574856989932	old
ENSG00000108691	CCL2	UB_T10_T12_6	1.12002	0.3263399580271794	old
ENSG00000023445	BIRC3	UB_T10_T12_6	2.07753	0.488202295160122	old
ENSG00000147889	CDKN2A	UB_T10_T12_6	24.942990000000002	1.4140200282502917	old
ENSG00000136244	IL6	UB_T10_T12_6	0.18697	0.07443974254422567	old
ENSG00000108691	CCL2	UB_T3_T5_1	2.52883	0.5476307368977243	young
ENSG00000023445	BIRC3	UB_T3_T5_1	0.43535	0.1569578136377604	young
ENSG00000147889	CDKN2A	UB_T3_T5_1	9.58095	1.0245246621448876	young
ENSG00000136244	IL6	UB_T3_T5_1	0.08182	0.03415500614038463	young
ENSG00000108691	CCL2	UB_T3_T5_2	0.21933	0.08612125917339959	young
ENSG00000023445	BIRC3	UB_T3_T5_2	0.05794	0.02446103782410326	young
ENSG00000147889	CDKN2A	UB_T3_T5_2	7.3328	0.9207909582160603	young
ENSG00000136244	IL6	UB_T3_T5_2	0.05263	0.022275743268940777	young
ENSG00000108691	CCL2	UB_T3_T5_3	1.95692	0.47083957477009986	young
ENSG00000023445	BIRC3	UB_T3_T5_3	0.17474	0.06994175676942767	young
ENSG00000147889	CDKN2A	UB_T3_T5_3	13.76999	1.169380201273609	young
ENSG00000136244	IL6	UB_T3_T5_3	0.02646	0.011342030065352827	young
ENSG00000108691	CCL2	UB_T3_T5_4	8.78699	0.9906491445723501	young
ENSG00000023445	BIRC3	UB_T3_T5_4	0.78935	0.2526952976392921	young
ENSG00000147889	CDKN2A	UB_T3_T5_4	20.0978	1.324237171047753	young
ENSG00000136244	IL6	UB_T3_T5_4	0.24307	0.09449558540572721	young
ENSG00000108691	CCL2	UB_T3_T5_5	1.16761	0.33598114590872435	young
ENSG00000023445	BIRC3	UB_T3_T5_5	0.10281	0.04250069552326152	young
ENSG00000147889	CDKN2A	UB_T3_T5_5	16.9387	1.253790966953148	young
ENSG00000136244	IL6	UB_T3_T5_5	0.09962	0.04124263023531562	young
ENSG00000108691	CCL2	UB_T3_T5_6	13.99622	1.1759818030542062	young
ENSG00000023445	BIRC3	UB_T3_T5_6	0.62976	0.21212365449608417	young
ENSG00000147889	CDKN2A	UB_T3_T5_6	25.95448	1.4306309579302297	young
ENSG00000136244	IL6	UB_T3_T5_6	0.04921	0.020862421190259047	young
