gene	stat
AADAC	down
ABLIM2	down
AC003092.1	down
AC005076.1	up
AC009078.3	up
AC009090.4	up
AC010343.3	down
AC037198.1	down
AC051649.2	up
AC069360.1	up
AC078880.3	up
AC090877.2	down
AC097639.1	up
AC107871.1	up
AC107982.3	down
AC108047.1	up
AC109466.1	down
AC132192.2	up
AC139720.2	down
AC147067.1	down
ADAP2	down
ADH1B	up
ADRA1B	up
ADRB2	down
AF165147.1	down
AL023775.1	down
AL031710.2	up
AL078590.2	down
AL096865.1	up
AL121832.3	up
AL122125.1	up
AL355607.2	down
AL391056.1	down
AL450124.1	down
ALPK2	down
APOBEC3B	up
AQP7	up
ARFGEF3	down
ATAD3C	down
ATRNL1	down
B4GALNT2	down
BHLHA15	down
BIRC5	up
BMP6	down
CACNB4	down
CAHM	up
CALB2	down
CATSPER2	up
CCDC68	down
CCK	down
CD52	down
CD74	down
CDC20	up
CDC20P1	up
CDH15	down
CDKN3	up
CENPM	up
CENPW	up
CFAP58	down
CITED1	up
CKS1BP3	up
CLCA2	down
CLVS2	down
CNTN1	down
CNTNAP4	down
COCH	up
CPA4	down
CPXM2	up
CSRP2	up
CTNND2	down
CYP11A1	down
DAZL	down
DBX2	up
DEC1	down
DHRS2	down
DKK2	down
DSP	down
DTX3	up
EDIL3	down
EFNB3	up
EFS	up
EGLN3	up
EPGN	down
EPHB3	up
EREG	down
EVI2A	up
FAM129C	down
FBXO43	up
FILIP1	down
FNDC11	up
FOLR3	down
FOXD2-AS1	up
FOXM1	up
FRMD4B	up
GALNT3	down
GGTLC4P	up
GPRC5B	up
GREM1	down
GRIA3	down
GRIK2	down
GRM8	down
GSC	up
GUCY1A2	down
HIST1H2BC	down
HIST1H3C	up
HSPB7	down
HUNK	up
IGFBP5	down
IL32	down
IL33	down
KCNJ6	down
KCTD14	up
KIF20A	up
KLHL30-AS1	down
KRT14	down
KRT34	down
KRTAP1-5	down
KRTAP2-3	down
KRTAP2-4	down
LAMC2	down
LBH	up
LCP1	down
LIF	down
LINC00520	down
LINC00943	down
LINC00973	down
LINC01085	down
LINC01481	up
LINC01705	down
LINC02154	down
LINC02182	down
LINC02298	down
LINC02511	down
LRRC15	down
LYVE1	down
MAP2K6	up
MEST	down
MEX3B	up
MGARP	up
MIR600HG	up
MPP7	up
MTX1P1	down
MYF5	up
MYOM3	down
MYOZ2	down
MYPN	down
NACAD	up
NCAM1	up
NEK10	down
NEURL1B	up
NFE4	down
NLRP10	down
NMNAT2	down
NMRAL2P	down
NPR1	up
NPR3	down
NR5A2	down
OLAH	down
OSTN-AS1	down
P2RX5	down
PCLAF	up
PCSK9	up
PELI2	up
PERM1	down
PIP4K2C	up
PKN3	up
PLEKHA7	up
PLEKHG3	up
PLK1	up
PLPPR4	down
PPP1R14A	down
PPP1R3C	down
PREX2	down
PRG4	down
PTGDR2	up
PTK7	up
PTPRZ1	down
RASL11B	up
RGMA	up
RIPK4	down
RNF144B	down
RP1	down
RPE65	down
RPS6KA1	up
RXFP1	down
SALL2	up
SAPCD2	up
SEPT4	up
SERF1B	up
SERPINB2	down
SERTAD4	up
SH3TC1	down
SH3TC2-DT	down
SLC28A3	down
SLC2A12	up
SLC40A1	up
SLC47A1	up
SLC7A8	up
SMO	up
SPC25	up
SPINT2	down
SPX	down
SRRM3	up
SV2A	up
TACSTD2	up
THBS1	down
TK1	up
TLE2	up
TMEFF1	up
TMEM130	up
TMEM132B	down
TMEM56	up
TMSB15B	up
TNFSF15	down
TRIL	up
TROAP	up
TYMS	up
VAT1L	up
WNT16	down
ZFPM2-AS1	down
ZNF730	up
ZNF804A	down
