gene	stat	AD_T10_T12_vs_AD_T3_T5	AD_T10_T12_vs_AD_T8	AD_T3_T5_vs_AD_T8
AADAC	down	0	0	1
AADAC	up	1	0	0
ABCC11	up	1	0	0
ABCC12	up	1	0	0
ABLIM2	down	0	0	1
ABLIM2	up	1	0	0
AC003092.1	down	0	0	1
AC003092.1	up	1	0	0
AC004264.1	up	1	1	0
AC005076.1	up	0	0	1
AC005077.4	up	1	0	0
AC005355.1	up	1	0	0
AC007325.4	up	0	1	0
AC009041.2	up	1	0	0
AC009078.3	up	0	0	1
AC009090.4	down	1	0	0
AC009090.4	up	0	0	1
AC009220.3	down	1	0	0
AC010343.3	down	0	0	1
AC010343.3	up	1	0	0
AC010487.1	up	1	0	0
AC011447.3	down	1	0	0
AC011447.7	down	1	0	0
AC018638.6	up	1	0	0
AC024132.1	up	1	0	0
AC025277.1	up	1	0	0
AC025857.2	up	1	0	0
AC026310.2	up	1	0	0
AC034223.1	up	1	0	0
AC034223.2	up	1	0	0
AC037198.1	down	0	0	1
AC051649.2	down	1	0	0
AC051649.2	up	0	0	1
AC068594.1	up	1	0	0
AC068647.2	up	1	0	0
AC068831.7	down	1	0	0
AC069360.1	down	1	0	0
AC069360.1	up	0	0	1
AC073359.1	up	1	0	0
AC074135.1	down	1	0	0
AC078880.3	up	0	0	1
AC078880.4	down	1	0	0
AC078883.1	up	1	0	0
AC090877.2	down	0	0	1
AC090877.2	up	1	0	0
AC092171.4	down	1	0	0
AC092329.4	down	1	0	0
AC092645.1	down	1	0	0
AC092821.3	down	1	0	0
AC092999.1	up	1	0	0
AC093799.1	down	1	0	0
AC096996.1	up	1	0	0
AC097059.1	up	1	0	0
AC097639.1	up	0	0	1
AC098847.1	up	1	0	0
AC099552.4	up	1	0	0
AC100849.1	up	1	0	0
AC103879.1	up	1	0	0
AC106886.5	up	1	0	0
AC107871.1	up	0	0	1
AC107982.3	down	0	0	1
AC108047.1	up	0	0	1
AC109466.1	down	0	0	1
AC109466.1	up	1	0	0
AC109588.1	up	1	0	0
AC110011.1	up	1	0	0
AC110048.1	up	1	0	0
AC110285.2	down	1	0	0
AC113346.1	up	1	0	0
AC116407.3	down	1	0	0
AC132192.2	up	0	0	1
AC139272.1	down	1	0	0
AC139720.1	up	1	0	0
AC139720.2	down	0	0	1
AC139720.2	up	1	0	0
AC147067.1	down	0	0	1
AC147067.1	up	1	0	0
AC234582.1	up	1	0	0
AC239584.1	up	1	0	0
AC242842.1	up	0	1	0
AC243772.2	up	1	0	0
ACAN	up	1	0	0
ACP7	up	1	0	0
ADAP2	down	0	0	1
ADCYAP1R1	down	1	0	0
ADGRF4	up	1	0	0
ADH1B	down	1	0	0
ADH1B	up	0	0	1
ADRA1B	down	1	0	0
ADRA1B	up	0	0	1
ADRB2	down	0	0	1
ADRB2	up	1	0	0
AF165147.1	down	0	0	1
AF165147.1	up	1	0	0
AGMO	up	1	0	0
AL022328.3	down	1	0	0
AL023775.1	down	0	0	1
AL023775.1	up	1	0	0
AL023803.2	down	1	0	0
AL031055.1	up	1	0	0
AL031283.3	up	1	0	0
AL031429.1	up	1	0	0
AL031710.2	down	1	0	0
AL031710.2	up	0	0	1
AL032819.1	up	1	0	0
AL078590.2	down	0	0	1
AL096865.1	up	0	0	1
AL121832.3	up	0	0	1
AL121899.1	up	1	0	0
AL121987.1	up	1	0	0
AL122125.1	up	0	0	1
AL133166.1	up	1	0	0
AL136162.1	down	1	0	0
AL137002.2	up	1	0	0
AL138828.1	up	1	0	0
AL160153.1	up	1	0	0
AL162151.2	down	0	1	0
AL162424.1	down	1	0	0
AL353150.1	up	0	1	1
AL353588.1	down	1	0	0
AL355607.2	down	0	0	1
AL355607.2	up	1	0	0
AL355916.1	up	1	0	0
AL359313.1	up	1	0	0
AL390719.1	up	1	0	0
AL391056.1	down	0	0	1
AL450124.1	down	0	0	1
AL513283.1	down	1	0	0
AL590648.3	up	1	0	0
ALDH1A2	down	1	0	0
ALOX15B	up	1	0	0
ALPK2	down	0	0	1
ANKRD22	up	1	0	0
AOC3	down	1	0	0
AP000892.3	up	1	0	0
AP001271.2	up	1	0	0
AP002761.3	down	1	0	0
AP005264.1	up	1	0	0
APBB1IP	down	1	0	0
APCDD1	down	1	1	0
APOBEC3B	up	0	0	1
APOC1	down	1	0	0
APOE	down	1	0	0
APOL4	down	1	0	0
AQP7	down	1	0	0
AQP7	up	0	0	1
ARFGEF3	down	0	0	1
ARG2	down	1	0	0
ART3	up	1	0	0
ASPHD1	up	1	0	0
ASPM	down	1	0	0
ATAD3C	down	0	0	1
ATP10A	down	1	1	0
ATRNL1	down	0	0	1
AURKB	down	1	0	0
B4GALNT2	down	0	0	1
B4GALNT4	up	1	0	0
BBOX1-AS1	up	1	0	0
BCAS1	up	1	0	0
BCL2	down	1	0	0
BDH1	down	1	0	0
BDKRB1	up	1	1	0
BEX1	up	1	0	0
BHLHA15	down	0	0	1
BHLHA15	up	1	0	0
BIRC3	up	1	0	0
BIRC5	down	1	0	0
BIRC5	up	0	0	1
BMF	down	1	0	0
BMP6	down	0	0	1
BNC2-AS1	up	0	1	1
