gene	stat
ABLIM2	up
AC018628.1	down
AC020915.1	down
AC027228.2	down
AC069499.1	down
AC073365.1	up
AC078778.1	down
AC079298.3	up
AC091185.1	down
AC093702.1	up
AC093833.1	up
AC097059.1	up
AC098934.1	down
AC104596.1	down
AC110011.1	up
AC118553.2	down
ACTBL2	up
ADAMTS19	up
ADAMTS5	up
ADAP2	up
AF165147.1	up
AFF2	down
AL034550.1	down
AL136985.3	up
AL445228.2	down
AL445490.1	up
AL663070.1	down
ANKRD6	down
AP000547.3	up
AP001476.1	down
ARHGDIG	up
ARNT2	down
ART4	up
ASPM	down
ATRNL1	down
BACH2	down
BIRC3	up
BMP2	up
BNC1	down
BX255923.1	up
C11orf96	up
C19orf38	up
C1QL4	up
C3	up
C3orf70	down
C8orf31	up
CABP1	up
CACNA2D3	up
CADM1	down
CASC8	up
CCDC150P1	down
CCK	up
CCL5	up
CD163L1	up
CD70	up
CDH4	down
CELF5	up
CENPF	down
CHMP1B2P	up
CILP2	up
CITED4	up
CKB	up
CLCA2	up
CLDN1	up
CLEC3B	up
CNKSR2	down
CNN1	up
CPVL	down
CRYAB	up
CSF2	up
CSMD3	up
CST1	up
CTTNBP2	up
CX3CL1	up
CXCL10	up
CXCL2	up
CXCL5	up
CYP1B1-AS1	up
CYP2J2	up
DCHS1	down
DCSTAMP	down
DENND2A	up
DES	up
DHRS9	up
DIO2	up
DIRAS3	down
DLSTP1	down
DPY19L2	up
DSC2	down
DTX4	up
E2F2	down
E2F8	down
EBI3	up
EDA	down
EDARADD	down
EEF1A2	up
EGR3	down
EHF	up
EIF4A2P1	down
ELMOD1	up
ELOVL2	down
ELOVL7	up
ETV7	up
F3	up
FAM107A	up
FAM111B	down
FAM241B	down
FAM43B	up
FAM84A	up
FGF5	up
FMN2	up
FOXF2	up
FRMPD4	down
FXYD6	down
GABRB3	down
GALNT6	up
GBP4	up
GCNT2	up
GCNT3	up
GDF6	down
GLDN	up
GPR88	down
GRID2	up
GRIN3B	up
GSDMC	up
GUCY1A2	up
HELLPAR	down
HIST1H1PS1	up
HIST1H2AC	up
HIST1H2BC	up
HIST1H2BD	up
HIST2H2AA4	up
HLA-DPB1	down
HOXB13	up
HOXC12	up
HOXC13	up
HSD11B1	up
HSD17B2	up
IFI27	up
IFI44L	up
IFI6	up
IGSF10	down
IL1B	up
IL1RL1	up
IL6	up
INAVA	down
INMT	up
INSC	up
JPH1	down
KIAA1211	down
KIF14	down
KIF26A	down
KNL1	down
KRT34	up
KRTAP2-2	up
KRTAP2-4	up
KYNU	up
LGI3	up
LINC01771	down
LINC02015	up
LINC02511	up
LIPH	up
LONRF2	down
LSAMP	down
LYPD3	up
LYPD5	up
MAP2	up
MAP3K9	down
MARCH10	up
MDFI	down
MEGF10	down
MIR17HG	down
MMP1	up
MORF4L2-AS1	down
MRGPRX3	up
MRVI1	up
MYB	down
MYBPH	down
MYH13	down
MYH16	down
MYO1H	down
MYOZ2	up
MYZAP	up
N4BP2L2-IT2	down
NAP1L2	up
NEURL1B	down
NHS	up
NHSL2	down
NLGN1	up
NME5	up
NOVA1	up
NTNG1	up
NXPE2	down
OAS1	up
OAS2	up
OCA2	up
OLAH	up
OLFML1	up
OLR1	up
OSTN-AS1	up
PCDHGC4	down
PCOLCE2	up
PELI2	down
PKIB	up
PLA2G3	down
PLCL1	down
PLCXD3	up
PLD5	down
PLEKHG4B	down
PLXDC2	down
POSTN	down
PPP1R36	up
PPP1R3G	up
PPP2R2C	up
PRAC2	up
PRC1	down
PRG4	up
PSCA	up
PSD	up
PTGFRN	down
PTPRE	down
PTPRN	down
PURPL	up
RAB39B	down
RASSF2	down
RBM24	up
RBP1	down
RGMA	down
RHCG	up
RIPK3	up
RNF144B	up
RNY3P8	up
ROBO2	up
RTP4	up
SAA1	up
SALL1	up
SAMD5	down
SAPCD2	down
SCIN	up
SCN3A	up
SCUBE3	up
SDK2	down
SELE	up
SGCA	up
SIX1	up
SLC16A14	up
SLC38A11	up
SLIT1	up
SLITRK2	up
SLITRK5	up
SLPI	up
SMOC1	up
SOX11	down
ST6GAL2	down
ST8SIA1	up
ST8SIA4	down
STAT4	up
STEAP2	up
STYK1	up
SULT1E1	down
TAGLN3	down
TBX21	down
TBX5	up
THEM5	up
TMEFF2	up
TMEM151A	up
TMEM229B	up
TMSB15A	down
TNF	up
TNFRSF9	up
TRIL	down
TRPM3	up
TSPAN11	up
TTC29	up
USP44	up
VASH2	down
VSTM4	down
VSTM5	up
WNK3	down
WNT16	up
XKR5	down
ZFPM2-AS1	up
ZNF492	down
ZNF711	down
ZPLD1	up
ZSWIM5	up
ZSWIM5P3	down
