gene	stat
AC011447.3	down
AC011447.7	down
AC069499.1	down
AC093536.1	up
AC098934.1	down
AC124045.1	down
AC233968.1	down
ADAP1	up
ADAP2	up
AKR1B10	up
AL161891.1	down
ALMS1	down
ANKRD24	up
ANLN	down
AP001972.5	up
ARHGAP11A	down
ATAD2	down
ATAD5	down
BARD1	down
BCL2	down
BLM	down
BRCA2	down
BUB1	down
CACNA1H	up
CASP8AP2	down
CCDC138	down
CCDC150P1	down
CCDC18	down
CCNA2	down
CCNE2	down
CD200	down
CDK1	down
CDKN2A	up
CENPE	down
CENPK	down
CENPU	down
CEP128	down
CEP135	down
CEP170P1	down
CEP295	down
CEP97	down
CHML	down
CIP2A	down
CKAP2	down
CKAP2L	down
CLSPN	down
CNTRL	down
COX7A1	up
CTF1	up
CYS1	up
DDIAS	down
DEPDC1B	down
DIAPH3	down
DMC1	down
DMPK	up
DPH6-AS1	up
DSC2	down
DTL	down
ECT2	down
EPHA7	down
ERCC6L	down
ESCO2	down
EXO1	down
EZH2	down
FAM161A	down
FAM43B	up
FAM81A	down
FANCB	down
FER1L4	up
GAS2L3	down
GEN1	down
GPR4	up
HELLS	down
HOXC12	up
HSD11B1	up
IGSF10	down
INHBE	up
IRF6	up
IZUMO4	up
KCND1	up
KCNJ12	up
KCNN2	up
KIF11	down
KIF15	down
KIF18A	down
KIF20B	down
KIF23	down
KIF4A	down
KNTC1	down
LCORL	down
LDB2	up
LFNG	down
LINC00663	up
LINC01352	up
LINC02511	up
LRRCC1	down
MAD2L1	down
MAGED4	up
MAPK10	up
MARCH1	down
MASP1	up
MCM10	down
MIS18BP1	down
MISP3	up
MMS22L	down
MOB3B	down
NCAPG	down
NUF2	down
NUSAP1	down
NXPE2	down
NYAP1	up
NYNRIN	up
ORC1	down
P2RX5	up
PABPC4L	down
PARPBP	down
PLD5	down
PLK4	down
POLA1	down
POLQ	down
PPM1N	up
PTPRO	up
RAB3D	up
RAD51AP1	down
RAD54B	down
RBL1	down
RFC3	down
RGPD5	down
RGS11	up
RHBDL1	up
RMI1	down
RPLP0P2	up
RRM2	down
SASS6	down
SDK2	down
SGO1	down
SGO2	down
SLF1	down
SLITRK5	up
SP4	down
SPAG5	down
SPINT2	up
STARD4-AS1	down
TBX5	up
THEM5	up
TMEM151A	up
TNFRSF11B	down
TOP2A	down
TTK	down
WDR76	down
WFDC1	up
XRCC2	down
ZG16B	up
ZGRF1	down
ZNF100	down
ZNF107	down
ZNF678	down
ZNF724	down
ZNF730	down
ZNF92	down
