gene	stat
AC005291.1	up
AC009078.3	up
AC107884.1	down
AFF2	up
ANKRD6	up
ARNT2	up
ATRNL1	up
BCL2L11	up
BMP2	down
C1QL4	down
C3	down
C6orf141	down
CADM1	up
CD163L1	down
CTSV	up
CXCL12	down
DES	down
DHRS9	down
DIRAS3	up
E2F2	up
ELOVL2	up
FGF5	down
FMN2	down
FXYD6	up
GCNT2	down
HERC6	down
IFIT1	down
IFIT2	down
IFIT3	down
IGF2	up
INSC	down
KIF26A	up
LINC01775	up
MAGED4B	down
MAP2	down
MDFI	up
MMP23A	up
MYB	up
NCF2	down
NHS	down
NME5	down
NPR3	down
NTNG1	down
NXPE2	up
OASL	down
OSTN-AS1	down
PLCXD3	down
PLXDC2	up
POSTN	up
RASSF2	up
RBP1	up
RN7SL5P	down
SALL1	down
SAMD5	up
SAPCD2	up
SIX1	down
SLITRK5	down
SOX11	up
STEAP2	down
STYK1	down
SULF2	up
SULT1E1	up
SYT9	down
TNS4	down
TRIL	up
TTC29	down
VTN	up
WNT16	down
ZDHHC11	up
ZNF492	up
ZSWIM5	down
ZSWIM5P3	up
