gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000213417	KRTAP2-4	7.1276	0	up	AD_T10_T12_vs_T3_T5
ENSG00000196611	MMP1	2.6083	3e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000066279	ASPM	-2.441	0	down	AD_T10_T12_vs_T3_T5
ENSG00000272196	HIST2H2AA4	3.7316	0.0019	up	AD_T10_T12_vs_T3_T5
ENSG00000115919	KYNU	4.6452	0	up	AD_T10_T12_vs_T3_T5
ENSG00000002745	WNT16	3.4174	0	up	AD_T10_T12_vs_T3_T5
ENSG00000117724	CENPF	-2.3331	0	down	AD_T10_T12_vs_T3_T5
ENSG00000158813	EDA	-2.5111	0	down	AD_T10_T12_vs_T3_T5
ENSG00000125730	C3	2.3316	0.0012	up	AD_T10_T12_vs_T3_T5
ENSG00000183801	OLFML1	-2.4392	0	down	AD_T10_T12_vs_T3_T5
ENSG00000233308	OSTN-AS1	5.5862	0	up	AD_T10_T12_vs_T3_T5
ENSG00000118193	KIF14	-2.0031	0	down	AD_T10_T12_vs_T3_T5
ENSG00000253628	AC110011.1	4.8057	0.0021	up	AD_T10_T12_vs_T3_T5
ENSG00000172399	MYOZ2	3.0219	0	up	AD_T10_T12_vs_T3_T5
ENSG00000140519	RHCG	4.9885	6e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000115009	CCL20	2.5587	0	up	AD_T10_T12_vs_T3_T5
ENSG00000255690	TRIL	-4.3488	0.0017	down	AD_T10_T12_vs_T3_T5
ENSG00000214376	VSTM5	2.2727	0.0447	up	AD_T10_T12_vs_T3_T5
ENSG00000139946	PELI2	-2.2402	0	down	AD_T10_T12_vs_T3_T5
ENSG00000164935	DCSTAMP	-3.0341	2e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000187094	CCK	2.1017	0.0054	up	AD_T10_T12_vs_T3_T5
ENSG00000112183	RBM24	2.0804	0	up	AD_T10_T12_vs_T3_T5
ENSG00000182836	PLCXD3	-3.3245	0.0127	down	AD_T10_T12_vs_T3_T5
ENSG00000232855	AF165147.1	2.94	0	up	AD_T10_T12_vs_T3_T5
ENSG00000187479	C11orf96	2.2455	9e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000214357	NEURL1B	-2.7868	2e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000114115	RBP1	-3.3056	0.0195	down	AD_T10_T12_vs_T3_T5
ENSG00000147697	GSDMC	5.5154	0	up	AD_T10_T12_vs_T3_T5
ENSG00000211448	DIO2	2.7843	0.0297	up	AD_T10_T12_vs_T3_T5
ENSG00000137812	KNL1	-2.3587	0	down	AD_T10_T12_vs_T3_T5
ENSG00000163347	CLDN1	3.9382	0	up	AD_T10_T12_vs_T3_T5
ENSG00000180596	HIST1H2BC	3.5632	0	up	AD_T10_T12_vs_T3_T5
ENSG00000135373	EHF	3.833	0.0151	up	AD_T10_T12_vs_T3_T5
ENSG00000186847	KRT14	6.1649	0	up	AD_T10_T12_vs_T3_T5
ENSG00000163995	ABLIM2	3.9447	0	up	AD_T10_T12_vs_T3_T5
ENSG00000248869	LINC02511	2.8804	2e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000226835	AC097059.1	3.9691	0	up	AD_T10_T12_vs_T3_T5
ENSG00000152402	GUCY1A2	3.4916	0	up	AD_T10_T12_vs_T3_T5
ENSG00000137393	RNF144B	2.2305	0	up	AD_T10_T12_vs_T3_T5
ENSG00000152463	OLAH	5.1646	0	up	AD_T10_T12_vs_T3_T5
ENSG00000232973	CYP1B1-AS1	2.3732	0.0011	up	AD_T10_T12_vs_T3_T5
ENSG00000231574	LINC02015	4.6598	3e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000146197	SCUBE3	3.0939	0.0287	up	AD_T10_T12_vs_T3_T5
ENSG00000101210	EEF1A2	3.6172	0.0243	up	AD_T10_T12_vs_T3_T5
ENSG00000023445	BIRC3	2.2019	0	up	AD_T10_T12_vs_T3_T5
ENSG00000186193	SAPCD2	-3.3759	0	down	AD_T10_T12_vs_T3_T5
ENSG00000158373	HIST1H2BD	2.3448	0	up	AD_T10_T12_vs_T3_T5
ENSG00000101265	RASSF2	-3.7169	0.0054	down	AD_T10_T12_vs_T3_T5
ENSG00000110900	TSPAN11	-2.2344	0.0038	down	AD_T10_T12_vs_T3_T5
ENSG00000131737	KRT34	4.8704	0	up	AD_T10_T12_vs_T3_T5
ENSG00000136244	IL6	4.0122	0	up	AD_T10_T12_vs_T3_T5
ENSG00000180573	HIST1H2AC	2.6718	1e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000138378	STAT4	2.7872	0	up	AD_T10_T12_vs_T3_T5
ENSG00000090339	ICAM1	4.19	0	up	AD_T10_T12_vs_T3_T5
ENSG00000182175	RGMA	-3.0206	0	down	AD_T10_T12_vs_T3_T5
ENSG00000100078	PLA2G3	-4.5133	0.0156	down	AD_T10_T12_vs_T3_T5
ENSG00000135549	PKIB	3.8756	0	up	AD_T10_T12_vs_T3_T5
ENSG00000177675	CD163L1	3.185	0	up	AD_T10_T12_vs_T3_T5
ENSG00000251003	ZFPM2-AS1	3.1268	0	up	AD_T10_T12_vs_T3_T5
ENSG00000186462	NAP1L2	2.0091	0.0163	up	AD_T10_T12_vs_T3_T5
ENSG00000147180	ZNF711	-3.2209	0.0388	down	AD_T10_T12_vs_T3_T5
ENSG00000166341	DCHS1	-3.2289	0	down	AD_T10_T12_vs_T3_T5
ENSG00000137975	CLCA2	2.0499	0.0027	up	AD_T10_T12_vs_T3_T5
ENSG00000213417	KRTAP2-4	2.2391	0.012	up	UB_T10_T12_vs_T3_T5
ENSG00000196611	MMP1	2.3515	0.0105	up	UB_T10_T12_vs_T3_T5
