gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000010319	SEMA3G	-4.4214	0	down	AD_T10_T12_vs_T3_T5
ENSG00000041353	RAB27B	3.4257	0.0023	up	AD_T10_T12_vs_T3_T5
ENSG00000204291	COL15A1	-3.7492	0	down	AD_T10_T12_vs_T3_T5
ENSG00000152078	TMEM56	-2.0487	0	down	AD_T10_T12_vs_T3_T5
ENSG00000232679	LINC01705	2.8563	0	up	AD_T10_T12_vs_T3_T5
ENSG00000238078	LINC01352	2.2632	0.0082	up	AD_T10_T12_vs_T3_T5
ENSG00000267069	AP005264.1	2.9632	0.0467	up	AD_T10_T12_vs_T3_T5
ENSG00000187546	AGMO	2.1489	0	up	AD_T10_T12_vs_T3_T5
ENSG00000219653	GCNT1P4	3.0646	0.0239	up	AD_T10_T12_vs_T3_T5
ENSG00000182272	B4GALNT4	2.1042	2e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000108759	KRT32	4.6286	0.0062	up	AD_T10_T12_vs_T3_T5
ENSG00000108691	CCL2	2.9233	0	up	AD_T10_T12_vs_T3_T5
ENSG00000106560	GIMAP2	-2.0343	0.0205	down	AD_T10_T12_vs_T3_T5
ENSG00000253557	AC100849.1	3.6179	0.001	up	AD_T10_T12_vs_T3_T5
ENSG00000205221	VIT	-2.1403	0	down	AD_T10_T12_vs_T3_T5
ENSG00000162944	RFTN2	-2.6132	0	down	AD_T10_T12_vs_T3_T5
ENSG00000106809	OGN	-2.3953	0.0061	down	AD_T10_T12_vs_T3_T5
ENSG00000175567	UCP2	-2.0717	0.0206	down	AD_T10_T12_vs_T3_T5
ENSG00000147255	IGSF1	-3.7349	0.0357	down	AD_T10_T12_vs_T3_T5
ENSG00000112655	PTK7	-3.933	0	down	AD_T10_T12_vs_T3_T5
ENSG00000262877	AC110285.2	-3.0652	0.0157	down	AD_T10_T12_vs_T3_T5
ENSG00000276308	AC078880.4	-2.3191	0.0418	down	AD_T10_T12_vs_T3_T5
ENSG00000251416	AC103879.1	2.8071	0.0309	up	AD_T10_T12_vs_T3_T5
ENSG00000233030	AC243772.2	3.8148	0.0459	up	AD_T10_T12_vs_T3_T5
ENSG00000251248	AC139720.2	2.8179	0	up	AD_T10_T12_vs_T3_T5
ENSG00000135451	TROAP	-2.2317	0	down	AD_T10_T12_vs_T3_T5
ENSG00000171004	HS6ST2	-4.259	0.0113	down	AD_T10_T12_vs_T3_T5
ENSG00000152154	TMEM178A	2.1828	0.0329	up	AD_T10_T12_vs_T3_T5
ENSG00000117650	NEK2	-2.3651	0	down	AD_T10_T12_vs_T3_T5
ENSG00000213468	FIRRE	2.469	0.0479	up	AD_T10_T12_vs_T3_T5
ENSG00000249942	AC239584.1	3.8353	0.0195	up	AD_T10_T12_vs_T3_T5
ENSG00000244459	AC147067.1	2.5917	0	up	AD_T10_T12_vs_T3_T5
ENSG00000167861	HID1	3.3515	0.0017	up	AD_T10_T12_vs_T3_T5
ENSG00000250038	AC109588.1	2.0421	0.0318	up	AD_T10_T12_vs_T3_T5
ENSG00000231007	CDC20P1	-2.4216	0	down	AD_T10_T12_vs_T3_T5
ENSG00000157456	CCNB2	-2.1941	0	down	AD_T10_T12_vs_T3_T5
ENSG00000182636	NDN	-2.5671	0	down	AD_T10_T12_vs_T3_T5
ENSG00000119630	PGF	-2.2801	1e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000169862	CTNND2	2.1256	0	up	AD_T10_T12_vs_T3_T5
ENSG00000123080	CDKN2C	-2.6767	0	down	AD_T10_T12_vs_T3_T5
ENSG00000006016	CRLF1	-2.1686	2e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000081181	ARG2	-2.1558	0	down	AD_T10_T12_vs_T3_T5
ENSG00000128606	LRRC17	2.5634	0	up	AD_T10_T12_vs_T3_T5
ENSG00000167476	JSRP1	2.8364	0.0176	up	AD_T10_T12_vs_T3_T5
ENSG00000261017	AC096996.1	4.4254	0.001	up	AD_T10_T12_vs_T3_T5
ENSG00000279019	AC009090.4	-2.9095	0.0241	down	AD_T10_T12_vs_T3_T5
ENSG00000203837	PNLIPRP3	3.3931	0.0019	up	AD_T10_T12_vs_T3_T5
ENSG00000182168	UNC5C	-4.0092	0	down	AD_T10_T12_vs_T3_T5
ENSG00000090889	KIF4A	-2.0518	0	down	AD_T10_T12_vs_T3_T5
ENSG00000130540	SULT4A1	2.5172	0.0246	up	AD_T10_T12_vs_T3_T5
ENSG00000099834	CDHR5	-3.0081	0.0354	down	AD_T10_T12_vs_T3_T5
ENSG00000173641	HSPB7	2.255	0	up	AD_T10_T12_vs_T3_T5
ENSG00000100739	BDKRB1	3.47	0	up	AD_T10_T12_vs_T3_T5
ENSG00000104081	BMF	-4.295	0.0378	down	AD_T10_T12_vs_T3_T5
ENSG00000174939	ASPHD1	2.2118	0	up	AD_T10_T12_vs_T3_T5
ENSG00000101447	FAM83D	-2.286	0	down	AD_T10_T12_vs_T3_T5
ENSG00000260420	LINC02182	4.2788	0.0061	up	AD_T10_T12_vs_T3_T5
ENSG00000198203	SULT1C2	2.3287	0.0044	up	AD_T10_T12_vs_T3_T5
ENSG00000064309	CDON	-2.4573	0	down	AD_T10_T12_vs_T3_T5
ENSG00000143196	DPT	-2.0622	0.0215	down	AD_T10_T12_vs_T3_T5
ENSG00000080986	NDC80	-2.0361	0	down	AD_T10_T12_vs_T3_T5
ENSG00000284634	AC092821.3	-3.534	0.022	down	AD_T10_T12_vs_T3_T5
ENSG00000283828	AL137002.2	2.7375	0.0235	up	AD_T10_T12_vs_T3_T5
ENSG00000024526	DEPDC1	-2.0446	0	down	AD_T10_T12_vs_T3_T5
ENSG00000276778	LINC02227	3.7995	0.0349	up	AD_T10_T12_vs_T3_T5
ENSG00000105427	CNFN	2.001	7e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000137265	IRF4	-3.1497	0.0055	down	AD_T10_T12_vs_T3_T5
ENSG00000267669	AC098847.1	2.8347	0	up	AD_T10_T12_vs_T3_T5
ENSG00000257551	HLX-AS1	2.0306	0.0409	up	AD_T10_T12_vs_T3_T5
ENSG00000108688	CCL7	2.1929	4e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000171509	RXFP1	2.3674	0.001	up	AD_T10_T12_vs_T3_T5
ENSG00000163536	SERPINI1	2.3371	0	up	AD_T10_T12_vs_T3_T5
ENSG00000278881	FP325331.1	4.2314	0.0025	up	AD_T10_T12_vs_T3_T5
ENSG00000272953	AC092171.4	-2.8392	0.0107	down	AD_T10_T12_vs_T3_T5
ENSG00000213626	LBH	-3.6133	0	down	AD_T10_T12_vs_T3_T5
ENSG00000183196	CHST6	-2.4602	0.0119	down	AD_T10_T12_vs_T3_T5
ENSG00000267383	AC011447.3	-2.9884	0.0369	down	AD_T10_T12_vs_T3_T5
ENSG00000213145	CRIP1	-2.5939	0.041	down	AD_T10_T12_vs_T3_T5
ENSG00000092068	SLC7A8	-2.5294	0	down	AD_T10_T12_vs_T3_T5
ENSG00000165474	GJB2	2.3386	2e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000279459	AP001271.2	2.2068	0.0147	up	AD_T10_T12_vs_T3_T5
ENSG00000161180	CCDC116	-2.3339	0.0371	down	AD_T10_T12_vs_T3_T5
ENSG00000117600	PLPPR4	4.6107	0	up	AD_T10_T12_vs_T3_T5
ENSG00000169174	PCSK9	-3.4324	0.0022	down	AD_T10_T12_vs_T3_T5
ENSG00000134962	KLB	-2.8734	0.0208	down	AD_T10_T12_vs_T3_T5
ENSG00000115339	GALNT3	2.8486	0	up	AD_T10_T12_vs_T3_T5
ENSG00000133800	LYVE1	4.0806	0	up	AD_T10_T12_vs_T3_T5
ENSG00000100842	EFS	-3.4918	0	down	AD_T10_T12_vs_T3_T5
ENSG00000267395	DM1-AS	-2.511	0.0162	down	AD_T10_T12_vs_T3_T5
ENSG00000283787	AC051649.2	-2.6925	0	down	AD_T10_T12_vs_T3_T5
ENSG00000069812	HES2	3.1368	0.0436	up	AD_T10_T12_vs_T3_T5
ENSG00000223620	RBM48P1	3.513	0.0388	up	AD_T10_T12_vs_T3_T5
ENSG00000198719	DLL1	-2.6749	0.0318	down	AD_T10_T12_vs_T3_T5
ENSG00000213347	MXD3	-2.3241	0	down	AD_T10_T12_vs_T3_T5
ENSG00000257556	LINC02298	2.31	0.0148	up	AD_T10_T12_vs_T3_T5
ENSG00000250994	AC005355.1	3.5513	0.0314	up	AD_T10_T12_vs_T3_T5
ENSG00000106976	DNM1	-2.786	0	down	AD_T10_T12_vs_T3_T5
ENSG00000116675	DNAJC6	2.0232	1e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000160447	PKN3	-2.5335	0	down	AD_T10_T12_vs_T3_T5
ENSG00000198910	L1CAM	4.2595	0.0037	up	AD_T10_T12_vs_T3_T5
ENSG00000067715	SYT1	2.4993	0	up	AD_T10_T12_vs_T3_T5
ENSG00000152766	ANKRD22	3.072	0.0013	up	AD_T10_T12_vs_T3_T5
ENSG00000121577	POPDC2	2.2228	0.0067	up	AD_T10_T12_vs_T3_T5
ENSG00000170689	HOXB9	2.2757	0	up	AD_T10_T12_vs_T3_T5
ENSG00000008517	IL32	4.1282	0	up	AD_T10_T12_vs_T3_T5
ENSG00000188290	HES4	2.9928	3e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000250041	AC069360.1	-2.0539	9e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000227517	LINC01483	3.5285	0	up	AD_T10_T12_vs_T3_T5
ENSG00000275092	AL031710.2	-3.6417	0.0052	down	AD_T10_T12_vs_T3_T5
ENSG00000255921	AC026310.2	3.8048	0.033	up	AD_T10_T12_vs_T3_T5
ENSG00000243953	AC073359.1	3.8211	0.0079	up	AD_T10_T12_vs_T3_T5
ENSG00000215630	GUSBP9	-4.2107	0.0037	down	AD_T10_T12_vs_T3_T5
ENSG00000261555	AC025277.1	2.3601	0.0128	up	AD_T10_T12_vs_T3_T5
ENSG00000131471	AOC3	-2.0641	6e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000251144	AC113346.1	2.2206	1e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000215853	RPTN	6.7532	0	up	AD_T10_T12_vs_T3_T5
ENSG00000182261	NLRP10	4.2034	0	up	AD_T10_T12_vs_T3_T5
ENSG00000168913	ENHO	-4.3375	6e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000046889	PREX2	5.1915	0	up	AD_T10_T12_vs_T3_T5
ENSG00000099822	HCN2	2.0366	0	up	AD_T10_T12_vs_T3_T5
ENSG00000276012	AL160153.1	3.8198	0.0224	up	AD_T10_T12_vs_T3_T5
ENSG00000169442	CD52	2.2947	0.0338	up	AD_T10_T12_vs_T3_T5
ENSG00000121316	PLBD1	-2.1628	0	down	AD_T10_T12_vs_T3_T5
ENSG00000211772	TRBC2	-4.1516	0	down	AD_T10_T12_vs_T3_T5
ENSG00000022556	NLRP2	2.9248	0.0324	up	AD_T10_T12_vs_T3_T5
ENSG00000158406	HIST1H4H	3.3203	0	up	AD_T10_T12_vs_T3_T5
ENSG00000185818	NAT8L	2.3547	0.0195	up	AD_T10_T12_vs_T3_T5
ENSG00000005513	SOX8	2.8115	0	up	AD_T10_T12_vs_T3_T5
