gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000213417	KRTAP2-4	2.4703	0	up	AD_T10_T12_vs_T8
ENSG00000204291	COL15A1	-3.4662	0	down	AD_T10_T12_vs_T8
ENSG00000234648	AL162151.2	-2.0766	0.0067	down	AD_T10_T12_vs_T8
ENSG00000115919	KYNU	2.6138	0.0232	up	AD_T10_T12_vs_T8
ENSG00000106483	SFRP4	-2.9583	0.0117	down	AD_T10_T12_vs_T8
ENSG00000100739	BDKRB1	2.0115	0	up	AD_T10_T12_vs_T8
ENSG00000143196	DPT	-2.4157	0.0095	down	AD_T10_T12_vs_T8
ENSG00000106976	DNM1	-2.3693	0	down	AD_T10_T12_vs_T8
ENSG00000008517	IL32	2.0097	0	up	AD_T10_T12_vs_T8
ENSG00000154856	APCDD1	-2.1095	0.0332	down	AD_T10_T12_vs_T8
ENSG00000275557	AC242842.1	2.1755	0.0272	up	AD_T10_T12_vs_T8
ENSG00000049540	ELN	-2.4372	0.0087	down	AD_T10_T12_vs_T8
ENSG00000198028	ZNF560	3.6864	8e-4	up	AD_T10_T12_vs_T8
ENSG00000060140	STYK1	2.2048	0.0078	up	AD_T10_T12_vs_T8
ENSG00000278817	AC007325.4	2.7999	0.0288	up	AD_T10_T12_vs_T8
ENSG00000180875	GREM2	-2.0713	0	down	AD_T10_T12_vs_T8
ENSG00000115457	IGFBP2	4.3489	0.0415	up	AD_T10_T12_vs_T8
ENSG00000224945	AL353150.1	2.3994	0.0297	up	AD_T10_T12_vs_T8
ENSG00000211895	IGHA1	6.2309	5e-4	up	AD_T10_T12_vs_T8
ENSG00000197977	ELOVL2	2.8311	0.0379	up	AD_T10_T12_vs_T8
ENSG00000234779	BNC2-AS1	2.3066	0.0215	up	AD_T10_T12_vs_T8
ENSG00000152463	OLAH	2.5931	0	up	AD_T10_T12_vs_T8
ENSG00000144152	FBLN7	-2.0564	0.0113	down	AD_T10_T12_vs_T8
ENSG00000162496	DHRS3	2.35	0.0362	up	AD_T10_T12_vs_T8
ENSG00000127585	FBXL16	2.6313	0	up	AD_T10_T12_vs_T8
ENSG00000162981	FAM84A	-2.3844	0	down	AD_T10_T12_vs_T8
ENSG00000130751	NPAS1	2.469	0	up	AD_T10_T12_vs_T8
ENSG00000123360	PDE1B	-2.8291	1e-4	down	AD_T10_T12_vs_T8
ENSG00000206190	ATP10A	-2.5449	0	down	AD_T10_T12_vs_T8
ENSG00000118785	SPP1	3.113	0.0048	up	AD_T10_T12_vs_T8
ENSG00000113504	SLC12A7	2.3169	0.0056	up	AD_T10_T12_vs_T8
ENSG00000268812	AC004264.1	2.2632	0.0109	up	AD_T10_T12_vs_T8
ENSG00000137809	ITGA11	-2.1904	0.0046	down	AD_T10_T12_vs_T8
ENSG00000235385	LINC02154	2.3085	0.0022	up	AD_T10_T12_vs_T8
ENSG00000129009	ISLR	-2.8092	5e-4	down	AD_T10_T12_vs_T8
