gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000213417	KRTAP2-4	4.6504	0.0042	up	AD_T8_vs_T3_T5
ENSG00000152078	TMEM56	-2.014	0.0086	down	AD_T8_vs_T3_T5
ENSG00000232679	LINC01705	2.6601	0.0027	up	AD_T8_vs_T3_T5
ENSG00000125531	FNDC11	-4.3296	0.0495	down	AD_T8_vs_T3_T5
ENSG00000112655	PTK7	-2.1245	0.0013	down	AD_T8_vs_T3_T5
ENSG00000251248	AC139720.2	2.3226	0.0283	up	AD_T8_vs_T3_T5
ENSG00000115461	IGFBP5	2.1796	0	up	AD_T8_vs_T3_T5
ENSG00000135451	TROAP	-2.2515	0	down	AD_T8_vs_T3_T5
ENSG00000167483	FAM129C	2.1108	0.0492	up	AD_T8_vs_T3_T5
ENSG00000244459	AC147067.1	2.2563	0.0173	up	AD_T8_vs_T3_T5
ENSG00000231007	CDC20P1	-2.3827	7e-4	down	AD_T8_vs_T3_T5
ENSG00000169862	CTNND2	2.4363	0	up	AD_T8_vs_T3_T5
ENSG00000227619	AL391056.1	2.1463	0.0036	up	AD_T8_vs_T3_T5
ENSG00000106483	SFRP4	4.599	0	up	AD_T8_vs_T3_T5
ENSG00000279019	AC009090.4	-3.8434	0.0435	down	AD_T8_vs_T3_T5
ENSG00000114541	FRMD4B	-2.1781	0.0394	down	AD_T8_vs_T3_T5
ENSG00000173641	HSPB7	2.2533	0.0028	up	AD_T8_vs_T3_T5
ENSG00000260420	LINC02182	4.1901	0.0358	up	AD_T8_vs_T3_T5
ENSG00000271579	AC078880.3	-2.5288	0.0159	down	AD_T8_vs_T3_T5
ENSG00000116690	PRG4	2.4023	0.0454	up	AD_T8_vs_T3_T5
ENSG00000261572	AC097639.1	-3.0955	0.0172	down	AD_T8_vs_T3_T5
ENSG00000231971	AL078590.2	4.5348	0.008	up	AD_T8_vs_T3_T5
ENSG00000257815	LINC01481	-2.0855	0.0486	down	AD_T8_vs_T3_T5
ENSG00000271857	AL096865.1	-2.933	0.0014	down	AD_T8_vs_T3_T5
ENSG00000171509	RXFP1	3.0107	0.0027	up	AD_T8_vs_T3_T5
ENSG00000213626	LBH	-2.2967	0.0016	down	AD_T8_vs_T3_T5
ENSG00000184060	ADAP2	2.2828	0.0205	up	AD_T8_vs_T3_T5
ENSG00000167900	TK1	-2.0584	0	down	AD_T8_vs_T3_T5
ENSG00000230712	GGTLC4P	-2.2935	0.0423	down	AD_T8_vs_T3_T5
ENSG00000172399	MYOZ2	2.4314	0	up	AD_T8_vs_T3_T5
ENSG00000092068	SLC7A8	-2.5884	0.0053	down	AD_T8_vs_T3_T5
ENSG00000117600	PLPPR4	3.5917	0.0031	up	AD_T8_vs_T3_T5
ENSG00000169174	PCSK9	-3.5327	0.0386	down	AD_T8_vs_T3_T5
ENSG00000115339	GALNT3	2.1101	0.0386	up	AD_T8_vs_T3_T5
ENSG00000133800	LYVE1	3.9393	4e-4	up	AD_T8_vs_T3_T5
ENSG00000179750	APOBEC3B	-2.2479	0	down	AD_T8_vs_T3_T5
ENSG00000100842	EFS	-2.9277	2e-4	down	AD_T8_vs_T3_T5
ENSG00000283787	AC051649.2	-2.7559	3e-4	down	AD_T8_vs_T3_T5
ENSG00000268942	CKS1BP3	-2.0491	0.005	down	AD_T8_vs_T3_T5
ENSG00000257556	LINC02298	2.5179	0.0382	up	AD_T8_vs_T3_T5
ENSG00000160447	PKN3	-2.447	0	down	AD_T8_vs_T3_T5
ENSG00000177679	SRRM3	-3.9047	2e-4	down	AD_T8_vs_T3_T5
ENSG00000108387	SEPT4	-2.3348	0.0364	down	AD_T8_vs_T3_T5
