gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000278530	CHMP1B2P	4.95	0.0105	up	UB_T10_T12_vs_T3_T5
ENSG00000077063	CTTNBP2	2.5096	0.0127	up	UB_T10_T12_vs_T3_T5
ENSG00000163362	INAVA	-4.7757	3e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000165807	PPP1R36	2.0724	0.0348	up	UB_T10_T12_vs_T3_T5
ENSG00000113532	ST8SIA4	-3.5077	1e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000006788	MYH13	-2.3537	3e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000216331	HIST1H1PS1	3.3156	0.007	up	UB_T10_T12_vs_T3_T5
ENSG00000115896	PLCL1	-2.4271	7e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000158164	TMSB15A	-2.2895	0	down	UB_T10_T12_vs_T3_T5
ENSG00000223865	HLA-DPB1	-2.356	0.0367	down	UB_T10_T12_vs_T3_T5
ENSG00000105246	EBI3	2.1439	0.0024	up	UB_T10_T12_vs_T3_T5
ENSG00000187122	SLIT1	2.4047	0.0148	up	UB_T10_T12_vs_T3_T5
ENSG00000248958	ZSWIM5P3	-2.5277	0.0107	down	UB_T10_T12_vs_T3_T5
ENSG00000140297	GCNT3	2.3888	2e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000006747	SCIN	2.7583	0.0152	up	UB_T10_T12_vs_T3_T5
ENSG00000175084	DES	2.6765	0	up	UB_T10_T12_vs_T3_T5
ENSG00000225886	AL445490.1	3.4352	0.0366	up	UB_T10_T12_vs_T3_T5
ENSG00000173838	MARCH10	2.4676	0.0174	up	UB_T10_T12_vs_T3_T5
ENSG00000137959	IFI44L	2.6236	0.0377	up	UB_T10_T12_vs_T3_T5
ENSG00000157445	CACNA2D3	2.8872	0.0017	up	UB_T10_T12_vs_T3_T5
ENSG00000154736	ADAMTS5	2.7846	0.0036	up	UB_T10_T12_vs_T3_T5
ENSG00000116690	PRG4	2.9729	0.0484	up	UB_T10_T12_vs_T3_T5
ENSG00000143494	VASH2	-2.4841	0.0021	down	UB_T10_T12_vs_T3_T5
ENSG00000157214	STEAP2	2.1401	0.0072	up	UB_T10_T12_vs_T3_T5
ENSG00000134755	DSC2	-2.0181	4e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000163710	PCOLCE2	2.7886	0	up	UB_T10_T12_vs_T3_T5
ENSG00000180287	PLD5	-2.267	0.0128	down	UB_T10_T12_vs_T3_T5
ENSG00000078018	MAP2	2.6652	1e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000137726	FXYD6	-5.8157	1e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000241644	INMT	3.8776	2e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000241634	AC069499.1	-2.3226	0.0139	down	UB_T10_T12_vs_T3_T5
ENSG00000184060	ADAP2	2.2068	0.0131	up	UB_T10_T12_vs_T3_T5
ENSG00000118513	MYB	-3.2931	0	down	UB_T10_T12_vs_T3_T5
ENSG00000111335	OAS2	2.5991	0.0342	up	UB_T10_T12_vs_T3_T5
ENSG00000137473	TTC29	3.4646	0.0035	up	UB_T10_T12_vs_T3_T5
ENSG00000145808	ADAMTS19	2.3136	0.011	up	UB_T10_T12_vs_T3_T5
ENSG00000196632	WNK3	-2.52	2e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000177335	C8orf31	2.0956	0.0108	up	UB_T10_T12_vs_T3_T5
ENSG00000187068	C3orf70	-2.3682	0	down	UB_T10_T12_vs_T3_T5
