UB_T10_1	UB_T10_2	UB_T10_3	UB_T5_1	UB_T5_2	UB_T5_3	gene_id	gene
106	190	183	1052	693	735	ENSG00000066279	ASPM
12182	4522	5452	1855	1563	1419	ENSG00000143320	CRABP2
4	6	6	6	28	71	ENSG00000115896	PLCL1
20	42	10	68	71	199	ENSG00000140563	MCTP2
38	71	42	8	11	13	ENSG00000006016	CRLF1
9	6	13	76	40	23	ENSG00000081181	ARG2
24	29	23	0	7	1	ENSG00000140297	GCNT3
13	7	4	64	51	8	ENSG00000215914	MMP23A
133	346	382	56	42	18	ENSG00000175084	DES
35	57	23	5	7	1	ENSG00000105088	OLFM2
13	22	95	0	1	0	ENSG00000002745	WNT16
109	252	288	1583	967	967	ENSG00000117724	CENPF
59	7	10	140	70	153	ENSG00000146950	SHROOM2
128	38	15	7	6	12	ENSG00000125730	C3
7	24	32	142	88	87	ENSG00000103995	CEP152
29	15	40	5	10	2	ENSG00000105427	CNFN
9	46	31	2	6	3	ENSG00000233308	OSTN-AS1
195	366	957	76	145	50	ENSG00000163710	PCOLCE2
29	61	63	407	280	255	ENSG00000118193	KIF14
16	34	207	20	16	19	ENSG00000078018	MAP2
65	101	14	17	8	5	ENSG00000241644	INMT
10	6	8	66	20	56	ENSG00000118513	MYB
87	63	52	18	3	14	ENSG00000115009	CCL20
20	23	3	73	80	72	ENSG00000187068	C3orf70
79	255	43	21	32	37	ENSG00000169116	PARM1
84	148	26	14	8	5	ENSG00000189001	SBSN
1956	926	256	257	190	38	ENSG00000130600	H19
107	535	78	5	45	26	ENSG00000131386	GALNT15
44	14	32	121	88	218	ENSG00000105855	ITGB8
52	20	9	0	7	3	ENSG00000242173	ARHGDIG
29	94	147	9	15	38	ENSG00000130720	FIBCD1
85	54	342	55	44	20	ENSG00000160886	LY6K
34	16	38	2	14	8	ENSG00000183248	PRR36
3	6	12	29	11	110	ENSG00000163293	NIPAL1
135	298	87	25	73	41	ENSG00000197766	CFD
133	34	20	879	573	487	ENSG00000176887	SOX11
78	108	23	305	411	445	ENSG00000156466	GDF6
25	111	32	11	20	3	ENSG00000250657	AC097451.1
117	100	90	18	32	13	ENSG00000232855	AF165147.1
5	2	25	88	42	56	ENSG00000213160	KLHL23
37	14	29	206	112	111	ENSG00000165821	SALL2
133	200	85	28	52	19	ENSG00000109846	CRYAB
10	14	8	89	25	39	ENSG00000280347	AC000123.3
10	48	14	0	7	7	ENSG00000125845	BMP2
19	7	14	122	52	168	ENSG00000104369	JPH1
13	10	56	3	3	3	ENSG00000108823	SGCA
30	31	7	152	74	115	ENSG00000260597	AC012531.1
69	118	165	715	479	453	ENSG00000137812	KNL1
83	199	15	33	32	18	ENSG00000110042	DTX4
81	135	19	11	12	10	ENSG00000064886	CHI3L2
20	40	61	1	4	5	ENSG00000186847	KRT14
418	639	658	3965	2895	2424	ENSG00000148773	MKI67
11	20	36	168	109	92	ENSG00000136492	BRIP1
151	157	96	16	20	36	ENSG00000130176	CNN1
11	38	79	0	3	10	ENSG00000226835	AC097059.1
69	93	37	9	16	11	ENSG00000160161	CILP2
3449	2405	1907	737	660	375	ENSG00000166165	CKB
36	46	19	210	177	275	ENSG00000179242	CDH4
6	4	2	58	27	28	ENSG00000112182	BACH2
17	34	45	1	13	7	ENSG00000112981	NME5
3	5	5	44	39	40	ENSG00000179841	AKAP5
8	8	24	41	40	137	ENSG00000077092	RARB
599	705	688	3928	2377	3208	ENSG00000143702	CEP170
7	3	10	36	41	48	ENSG00000170500	LONRF2
11	23	9	92	53	56	ENSG00000174501	ANKRD36C
10	43	46	0	2	0	ENSG00000162631	NTNG1
21	53	87	22	3	11	ENSG00000107562	CXCL12
38	106	166	12	34	13	ENSG00000155816	FMN2
9	12	7	124	86	101	ENSG00000204131	NHSL2
8	6	16	84	45	75	ENSG00000253661	ZFHX4-AS1
246	320	39	42	52	40	ENSG00000101210	EEF1A2
88	108	271	23	24	27	ENSG00000188487	INSC
20	61	20	4	13	10	ENSG00000171658	NMRAL2P
30	22	36	126	187	101	ENSG00000133107	TRPC4
1	8	5	28	37	27	ENSG00000175322	ZNF519
17	1	5	48	37	31	ENSG00000102230	PCYT1B
232	216	164	1550	843	773	ENSG00000091656	ZFHX4
114	252	58	16	51	28	ENSG00000153162	BMP6
20	2	14	200	75	288	ENSG00000144057	ST6GAL2
79	46	23	3	13	14	ENSG00000105989	WNT2
23	59	9	3	8	12	ENSG00000197261	C6orf141
53	85	7	3	8	8	ENSG00000105664	COMP
5	0	7	36	19	27	ENSG00000077264	PAK3
41	30	20	3	4	8	ENSG00000279415	AC099494.2
10	1	2	46	18	24	ENSG00000100427	MLC1
36	45	170	11	16	9	ENSG00000189409	MMP23B
41	205	351	75	39	34	ENSG00000160201	U2AF1
74	70	168	21	28	33	ENSG00000130751	NPAS1
189	80	30	884	617	327	ENSG00000101265	RASSF2
28	17	72	1	0	2	ENSG00000073737	DHRS9
161	75	63	617	633	449	ENSG00000133101	CCNA1
3	0	3	19	68	6	ENSG00000179304	FAM156B
30	13	261	6	6	3	ENSG00000159184	HOXB13
907	2106	1244	215	221	618	ENSG00000131737	KRT34
276	423	515	73	107	160	ENSG00000261040	WFDC21P
61	50	7	6	5	14	ENSG00000172061	LRRC15
10	73	15	2	8	1	ENSG00000126778	SIX1
